Wind_Direction_Class,Instrument,Diameter_um,dN_dlnDp,N_Samples
E (67.5–112.5°),FIDAS 200,0.1037,0.0,70
E (67.5–112.5°),FIDAS 200,0.11,0.0,70
E (67.5–112.5°),FIDAS 200,0.1198,0.0,70
E (67.5–112.5°),FIDAS 200,0.1287,0.0,70
E (67.5–112.5°),FIDAS 200,0.1383,0.0,70
E (67.5–112.5°),FIDAS 200,0.1486,0.0,70
E (67.5–112.5°),FIDAS 200,0.1597,2.212056937976345,70
E (67.5–112.5°),FIDAS 200,0.1717,150.4564984185169,70
E (67.5–112.5°),FIDAS 200,0.1845,599.4497528595845,70
E (67.5–112.5°),FIDAS 200,0.1982,773.4971740853057,70
E (67.5–112.5°),FIDAS 200,0.213,629.3992494867399,70
E (67.5–112.5°),FIDAS 200,0.2289,519.1525012322812,70
E (67.5–112.5°),FIDAS 200,0.246,470.10695973440585,70
E (67.5–112.5°),FIDAS 200,0.2643,440.0751604291843,70
E (67.5–112.5°),FIDAS 200,0.2841,420.78677098296396,70
E (67.5–112.5°),FIDAS 200,0.3053,234.62915900786018,70
E (67.5–112.5°),FIDAS 200,0.328,61.85953419351416,70
E (67.5–112.5°),FIDAS 200,0.3525,30.333360638495723,70
E (67.5–112.5°),FIDAS 200,0.3788,14.117486018410299,70
E (67.5–112.5°),FIDAS 200,0.4071,9.037252602574894,70
E (67.5–112.5°),FIDAS 200,0.4374,6.8539892810495235,70
E (67.5–112.5°),FIDAS 200,0.4701,6.46080652969707,70
E (67.5–112.5°),FIDAS 200,0.5051,5.9268118079121175,70
E (67.5–112.5°),FIDAS 200,0.5428,4.147736247664207,70
E (67.5–112.5°),FIDAS 200,0.5833,2.8181056707858025,70
E (67.5–112.5°),FIDAS 200,0.6268,1.9653129487170347,70
E (67.5–112.5°),FIDAS 200,0.6736,1.7516781072881304,70
E (67.5–112.5°),FIDAS 200,0.7239,1.5958522587021908,70
E (67.5–112.5°),FIDAS 200,0.7779,1.489211265496148,70
E (67.5–112.5°),FIDAS 200,0.8359,1.3597791672058412,70
E (67.5–112.5°),FIDAS 200,0.8983,1.264007376099953,70
E (67.5–112.5°),FIDAS 200,0.9653,1.0269155173495335,70
E (67.5–112.5°),FIDAS 200,1.0373,0.9705071825440805,70
E (67.5–112.5°),FIDAS 200,1.1147,0.9214833228868697,70
E (67.5–112.5°),FIDAS 200,1.1979,0.9008407550241869,70
E (67.5–112.5°),FIDAS 200,1.2872,0.9674455663305316,70
E (67.5–112.5°),FIDAS 200,1.3833,0.7320855292219093,70
E (67.5–112.5°),FIDAS 200,1.4865,0.6427784589710912,70
E (67.5–112.5°),FIDAS 200,1.5974,0.6617061358256635,70
E (67.5–112.5°),FIDAS 200,1.7165,0.723594270546025,70
E (67.5–112.5°),FIDAS 200,1.8446,0.6177777152465806,70
E (67.5–112.5°),FIDAS 200,1.9822,0.7880345534016848,70
E (67.5–112.5°),FIDAS 200,2.1301,0.650514878856069,70
E (67.5–112.5°),FIDAS 200,2.2891,0.5554069718695206,70
E (67.5–112.5°),FIDAS 200,2.4598,0.602727398486188,70
E (67.5–112.5°),FIDAS 200,2.6434,0.5570398105694322,70
E (67.5–112.5°),FIDAS 200,2.8406,0.5521096840059291,70
E (67.5–112.5°),FIDAS 200,3.0525,0.4145228853922317,70
E (67.5–112.5°),FIDAS 200,3.2802,0.4068757692497082,70
E (67.5–112.5°),FIDAS 200,3.525,0.4358485115041802,70
E (67.5–112.5°),FIDAS 200,3.788,0.42650365843565363,70
E (67.5–112.5°),FIDAS 200,4.0706,0.4545204717150947,70
E (67.5–112.5°),FIDAS 200,4.3743,0.36325987733046033,70
E (67.5–112.5°),FIDAS 200,4.7006,0.3254847391847405,70
E (67.5–112.5°),FIDAS 200,5.0513,0.33414100379836736,70
E (67.5–112.5°),FIDAS 200,5.4282,0.23828487749851435,70
E (67.5–112.5°),FIDAS 200,5.8332,0.25432153696558635,70
E (67.5–112.5°),FIDAS 200,6.2684,0.1960404026050047,70
E (67.5–112.5°),FIDAS 200,6.7361,0.15540072507384367,70
E (67.5–112.5°),FIDAS 200,7.2386,0.22970905262250016,70
E (67.5–112.5°),FIDAS 200,7.7787,0.21422591185054501,70
E (67.5–112.5°),FIDAS 200,8.359,0.18164534881655972,70
E (67.5–112.5°),FIDAS 200,8.9827,0.1187289099609512,70
E (67.5–112.5°),FIDAS 200,9.6529,0.11078400276691863,70
E (67.5–112.5°),FIDAS 200,10.373,0.10038780231279264,70
E (67.5–112.5°),FIDAS 200,11.1469,0.10371826460668238,70
E (67.5–112.5°),FIDAS 200,11.9786,0.08904887044604635,70
E (67.5–112.5°),FIDAS 200,12.8723,0.07447251476052417,70
E (67.5–112.5°),FIDAS 200,13.8327,0.06135814835430735,70
E (67.5–112.5°),FIDAS 200,14.8647,0.0651363423493338,70
E (67.5–112.5°),FIDAS 200,15.9737,0.06835331258199207,70
E (67.5–112.5°),FIDAS 200,17.1655,0.04505409847267777,70
E (67.5–112.5°),FIDAS 200,18.4462,0.05467330966729635,70
E (67.5–112.5°),FIDAS 200,19.8224,0.058525128793029665,70
E (67.5–112.5°),FIDAS 200,21.3013,0.06295237328956337,70
E (67.5–112.5°),FIDAS 200,22.8905,0.06745707387826544,70
E (67.5–112.5°),FIDAS 200,24.5984,0.07291605667667522,70
E (67.5–112.5°),FIDAS 200,26.4336,0.021222355425715832,70
E (67.5–112.5°),UCASS 1,0.7765307463326871,0.23883034868177616,2295
E (67.5–112.5°),UCASS 1,1.7052272575818157,0.04059880103780279,2295
