Wind_Direction_Class,Instrument,Diameter_um,dN_dlnDp,N_Samples
N (337.5–360° and 0–22.5°),FIDAS 200,0.1037,0.0,142
N (337.5–360° and 0–22.5°),FIDAS 200,0.11,0.0,142
N (337.5–360° and 0–22.5°),FIDAS 200,0.1198,0.0,142
N (337.5–360° and 0–22.5°),FIDAS 200,0.1287,0.0,142
N (337.5–360° and 0–22.5°),FIDAS 200,0.1383,0.0,142
N (337.5–360° and 0–22.5°),FIDAS 200,0.1486,0.0,142
N (337.5–360° and 0–22.5°),FIDAS 200,0.1597,2.3101810037072132,142
N (337.5–360° and 0–22.5°),FIDAS 200,0.1717,148.4366348002418,142
N (337.5–360° and 0–22.5°),FIDAS 200,0.1845,588.6071967724195,142
N (337.5–360° and 0–22.5°),FIDAS 200,0.1982,760.4910901108725,142
N (337.5–360° and 0–22.5°),FIDAS 200,0.213,622.139533660459,142
N (337.5–360° and 0–22.5°),FIDAS 200,0.2289,509.18400836080065,142
N (337.5–360° and 0–22.5°),FIDAS 200,0.246,460.71855705049774,142
N (337.5–360° and 0–22.5°),FIDAS 200,0.2643,428.00414049726095,142
N (337.5–360° and 0–22.5°),FIDAS 200,0.2841,406.4799562527328,142
N (337.5–360° and 0–22.5°),FIDAS 200,0.3053,229.8868760322115,142
N (337.5–360° and 0–22.5°),FIDAS 200,0.328,59.321181839068736,142
N (337.5–360° and 0–22.5°),FIDAS 200,0.3525,28.431536128576724,142
N (337.5–360° and 0–22.5°),FIDAS 200,0.3788,12.711338706022106,142
N (337.5–360° and 0–22.5°),FIDAS 200,0.4071,7.970875201788165,142
N (337.5–360° and 0–22.5°),FIDAS 200,0.4374,5.806773623681002,142
N (337.5–360° and 0–22.5°),FIDAS 200,0.4701,5.187791712008375,142
N (337.5–360° and 0–22.5°),FIDAS 200,0.5051,5.0152263922184765,142
N (337.5–360° and 0–22.5°),FIDAS 200,0.5428,3.4390890200661723,142
N (337.5–360° and 0–22.5°),FIDAS 200,0.5833,2.560863267420878,142
N (337.5–360° and 0–22.5°),FIDAS 200,0.6268,1.8894197556481238,142
N (337.5–360° and 0–22.5°),FIDAS 200,0.6736,1.6096802650446567,142
N (337.5–360° and 0–22.5°),FIDAS 200,0.7239,1.4554532032946585,142
N (337.5–360° and 0–22.5°),FIDAS 200,0.7779,1.4242022140282307,142
N (337.5–360° and 0–22.5°),FIDAS 200,0.8359,1.2076693175954158,142
N (337.5–360° and 0–22.5°),FIDAS 200,0.8983,1.117035350656293,142
N (337.5–360° and 0–22.5°),FIDAS 200,0.9653,1.1464551184228744,142
N (337.5–360° and 0–22.5°),FIDAS 200,1.0373,1.0577865127869368,142
N (337.5–360° and 0–22.5°),FIDAS 200,1.1147,1.0330341791575326,142
N (337.5–360° and 0–22.5°),FIDAS 200,1.1979,0.8909643795248148,142
N (337.5–360° and 0–22.5°),FIDAS 200,1.2872,0.872803501226681,142
N (337.5–360° and 0–22.5°),FIDAS 200,1.3833,0.8456804450441535,142
N (337.5–360° and 0–22.5°),FIDAS 200,1.4865,0.8059684003384329,142
N (337.5–360° and 0–22.5°),FIDAS 200,1.5974,0.8185934807621004,142
N (337.5–360° and 0–22.5°),FIDAS 200,1.7165,0.7883408904691083,142
N (337.5–360° and 0–22.5°),FIDAS 200,1.8446,0.6696326655160789,142
N (337.5–360° and 0–22.5°),FIDAS 200,1.9822,0.6716747412237044,142
N (337.5–360° and 0–22.5°),FIDAS 200,2.1301,0.6421365287547157,142
N (337.5–360° and 0–22.5°),FIDAS 200,2.2891,0.5857457910353526,142
N (337.5–360° and 0–22.5°),FIDAS 200,2.4598,0.5866785502209566,142
N (337.5–360° and 0–22.5°),FIDAS 200,2.6434,0.5537396001223212,142
N (337.5–360° and 0–22.5°),FIDAS 200,2.8406,0.5018500585177914,142
N (337.5–360° and 0–22.5°),FIDAS 200,3.0525,0.4773409512821446,142
N (337.5–360° and 0–22.5°),FIDAS 200,3.2802,0.4213540022922327,142
N (337.5–360° and 0–22.5°),FIDAS 200,3.525,0.46630669379469036,142
N (337.5–360° and 0–22.5°),FIDAS 200,3.788,0.42477960918391955,142
N (337.5–360° and 0–22.5°),FIDAS 200,4.0706,0.4023530084615981,142
N (337.5–360° and 0–22.5°),FIDAS 200,4.3743,0.40477591780027733,142
N (337.5–360° and 0–22.5°),FIDAS 200,4.7006,0.3064101096090026,142
N (337.5–360° and 0–22.5°),FIDAS 200,5.0513,0.3465052689800231,142
N (337.5–360° and 0–22.5°),FIDAS 200,5.4282,0.2825688699254419,142
N (337.5–360° and 0–22.5°),FIDAS 200,5.8332,0.26765197486890485,142
N (337.5–360° and 0–22.5°),FIDAS 200,6.2684,0.21276505414957114,142
N (337.5–360° and 0–22.5°),FIDAS 200,6.7361,0.20755172403681946,142
N (337.5–360° and 0–22.5°),FIDAS 200,7.2386,0.2156069462502202,142
N (337.5–360° and 0–22.5°),FIDAS 200,7.7787,0.21458667605285434,142
N (337.5–360° and 0–22.5°),FIDAS 200,8.359,0.14566728530289372,142
N (337.5–360° and 0–22.5°),FIDAS 200,8.9827,0.15160467989905355,142
N (337.5–360° and 0–22.5°),FIDAS 200,9.6529,0.13941314662186233,142
N (337.5–360° and 0–22.5°),FIDAS 200,10.373,0.0941666527648253,142
N (337.5–360° and 0–22.5°),FIDAS 200,11.1469,0.10249613369891997,142
N (337.5–360° and 0–22.5°),FIDAS 200,11.9786,0.10140308487891841,142
N (337.5–360° and 0–22.5°),FIDAS 200,12.8723,0.07770370924638657,142
N (337.5–360° and 0–22.5°),FIDAS 200,13.8327,0.07358792947122078,142
N (337.5–360° and 0–22.5°),FIDAS 200,14.8647,0.05175926569126382,142
N (337.5–360° and 0–22.5°),FIDAS 200,15.9737,0.04582382828207992,142
N (337.5–360° and 0–22.5°),FIDAS 200,17.1655,0.061552570848917625,142
N (337.5–360° and 0–22.5°),FIDAS 200,18.4462,0.04316355597519225,142
N (337.5–360° and 0–22.5°),FIDAS 200,19.8224,0.04608972039252077,142
N (337.5–360° and 0–22.5°),FIDAS 200,21.3013,0.04960281621196855,142
N (337.5–360° and 0–22.5°),FIDAS 200,22.8905,0.053133967199696555,142
N (337.5–360° and 0–22.5°),FIDAS 200,24.5984,0.05753711717657092,142
N (337.5–360° and 0–22.5°),FIDAS 200,26.4336,0.01672345205557762,142
N (337.5–360° and 0–22.5°),UCASS 1,0.7765307463326871,0.0987580568262421,4303
N (337.5–360° and 0–22.5°),UCASS 1,1.7052272575818157,0.028004457927939732,4303
N (337.5–360° and 0–22.5°),UCASS 1,2.4781242906682466,0.004753236984392409,4303
N (337.5–360° and 0–22.5°),UCASS 1,3.1246599815019875,0.009162562973594725,4303
N (337.5–360° and 0–22.5°),UCASS 1,3.668105778191245,0.005823749008304708,4303
N (337.5–360° and 0–22.5°),UCASS 1,4.161249812255929,0.0015672480181188756,4303
N (337.5–360° and 0–22.5°),UCASS 1,4.678589531044587,0.0019314152586716981,4303
N (337.5–360° and 0–22.5°),UCASS 1,5.145298825141257,0.002146688037084215,4303
N (337.5–360° and 0–22.5°),UCASS 1,5.604863959098383,0.002346360036321302,4303
N (337.5–360° and 0–22.5°),UCASS 1,6.061188002363893,0.0,4303
N (337.5–360° and 0–22.5°),UCASS 1,6.520398760812102,0.0,4303
N (337.5–360° and 0–22.5°),UCASS 1,6.971986804347811,0.0,4303
N (337.5–360° and 0–22.5°),UCASS 1,7.420956811624765,0.0,4303
N (337.5–360° and 0–22.5°),UCASS 1,7.891793205602894,0.0,4303
N (337.5–360° and 0–22.5°),UCASS 1,10.85080642164443,0.0,4303
N (337.5–360° and 0–22.5°),UCASS 2,4.069004792329446,0.26478113838629896,4303
N (337.5–360° and 0–22.5°),UCASS 2,4.496398558846847,0.2807314645022101,4303
N (337.5–360° and 0–22.5°),UCASS 2,5.417970099585268,0.17297577292053612,4303
N (337.5–360° and 0–22.5°),UCASS 2,6.685506712284417,0.10626764251517341,4303
N (337.5–360° and 0–22.5°),UCASS 2,8.268978171455045,0.05832017760351053,4303
N (337.5–360° and 0–22.5°),UCASS 2,10.772854774849607,0.06239406326920095,4303
N (337.5–360° and 0–22.5°),UCASS 2,13.835259303677686,0.022347797211832155,4303
N (337.5–360° and 0–22.5°),UCASS 2,17.414821273846023,0.01296257534854208,4303
N (337.5–360° and 0–22.5°),UCASS 2,23.11955881932006,0.012087706370791627,4303
N (337.5–360° and 0–22.5°),UCASS 2,28.16814512885078,0.004079224201755397,4303
N (337.5–360° and 0–22.5°),UCASS 2,30.822173836379548,0.004562941806383132,4303
N (337.5–360° and 0–22.5°),UCASS 2,33.4058677480469,0.002979049357873989,4303
N (337.5–360° and 0–22.5°),UCASS 2,35.530071770262445,0.0,4303
N (337.5–360° and 0–22.5°),UCASS 2,40.3981039159018,0.003805902358294531,4303
