Wind_Direction_Class,Instrument,Diameter_um,dN_dlnDp,N_Samples
NW (292.5–337.5°),FIDAS 200,0.1037,0.0,282
NW (292.5–337.5°),FIDAS 200,0.11,0.0,282
NW (292.5–337.5°),FIDAS 200,0.1198,0.0,282
NW (292.5–337.5°),FIDAS 200,0.1287,0.0,282
NW (292.5–337.5°),FIDAS 200,0.1383,0.0,282
NW (292.5–337.5°),FIDAS 200,0.1486,0.0,282
NW (292.5–337.5°),FIDAS 200,0.1597,2.6408681072870857,282
NW (292.5–337.5°),FIDAS 200,0.1717,164.74360543767565,282
NW (292.5–337.5°),FIDAS 200,0.1845,645.445193242488,282
NW (292.5–337.5°),FIDAS 200,0.1982,833.1849033796245,282
NW (292.5–337.5°),FIDAS 200,0.213,683.776251554651,282
NW (292.5–337.5°),FIDAS 200,0.2289,571.3372689782833,282
NW (292.5–337.5°),FIDAS 200,0.246,523.1007804389322,282
NW (292.5–337.5°),FIDAS 200,0.2643,497.32528699141284,282
NW (292.5–337.5°),FIDAS 200,0.2841,412.3160768456602,282
NW (292.5–337.5°),FIDAS 200,0.3053,211.1453897801235,282
NW (292.5–337.5°),FIDAS 200,0.328,62.448619355545844,282
NW (292.5–337.5°),FIDAS 200,0.3525,29.4599004379853,282
NW (292.5–337.5°),FIDAS 200,0.3788,13.917429506306535,282
NW (292.5–337.5°),FIDAS 200,0.4071,8.789511375263103,282
NW (292.5–337.5°),FIDAS 200,0.4374,6.673774231512517,282
NW (292.5–337.5°),FIDAS 200,0.4701,5.773760199858945,282
NW (292.5–337.5°),FIDAS 200,0.5051,5.0868210865957995,282
NW (292.5–337.5°),FIDAS 200,0.5428,3.704023294191882,282
NW (292.5–337.5°),FIDAS 200,0.5833,2.470089926128941,282
NW (292.5–337.5°),FIDAS 200,0.6268,1.9172027519389598,282
NW (292.5–337.5°),FIDAS 200,0.6736,1.6628862283220462,282
NW (292.5–337.5°),FIDAS 200,0.7239,1.4976545204078153,282
NW (292.5–337.5°),FIDAS 200,0.7779,1.3865827172663066,282
NW (292.5–337.5°),FIDAS 200,0.8359,1.3022428083062159,282
NW (292.5–337.5°),FIDAS 200,0.8983,1.2830142162720923,282
NW (292.5–337.5°),FIDAS 200,0.9653,1.165260258950759,282
