Wind_Direction_Class,Instrument,Diameter_um,dN_dlnDp,N_Samples
S (157.5–202.5°),FIDAS 200,0.1037,0.0,16
S (157.5–202.5°),FIDAS 200,0.11,0.0,16
S (157.5–202.5°),FIDAS 200,0.1198,0.0,16
S (157.5–202.5°),FIDAS 200,0.1287,0.0,16
S (157.5–202.5°),FIDAS 200,0.1383,0.0,16
S (157.5–202.5°),FIDAS 200,0.1486,0.0,16
S (157.5–202.5°),FIDAS 200,0.1597,2.2046658888936808,16
S (157.5–202.5°),FIDAS 200,0.1717,154.7296398696519,16
S (157.5–202.5°),FIDAS 200,0.1845,608.6891717284252,16
S (157.5–202.5°),FIDAS 200,0.1982,793.4895905709544,16
S (157.5–202.5°),FIDAS 200,0.213,637.3004669900465,16
S (157.5–202.5°),FIDAS 200,0.2289,526.7099097025147,16
S (157.5–202.5°),FIDAS 200,0.246,474.99191369967366,16
S (157.5–202.5°),FIDAS 200,0.2643,442.43855619389797,16
S (157.5–202.5°),FIDAS 200,0.2841,427.9181291527183,16
S (157.5–202.5°),FIDAS 200,0.3053,236.02417698514773,16
S (157.5–202.5°),FIDAS 200,0.328,59.60819143309506,16
S (157.5–202.5°),FIDAS 200,0.3525,28.47501033382077,16
S (157.5–202.5°),FIDAS 200,0.3788,13.358484627714482,16
S (157.5–202.5°),FIDAS 200,0.4071,8.283894503922536,16
S (157.5–202.5°),FIDAS 200,0.4374,6.622529847791297,16
S (157.5–202.5°),FIDAS 200,0.4701,5.4749965631666555,16
S (157.5–202.5°),FIDAS 200,0.5051,4.78144781932236,16
S (157.5–202.5°),FIDAS 200,0.5428,3.608525453458377,16
S (157.5–202.5°),FIDAS 200,0.5833,2.7759797140734275,16
S (157.5–202.5°),FIDAS 200,0.6268,2.1590504903959933,16
S (157.5–202.5°),FIDAS 200,0.6736,1.6405888382270921,16
S (157.5–202.5°),FIDAS 200,0.7239,1.3170229621321157,16
S (157.5–202.5°),FIDAS 200,0.7779,1.607953354634845,16
S (157.5–202.5°),FIDAS 200,0.8359,1.2437978067997848,16
S (157.5–202.5°),FIDAS 200,0.8983,1.2992958546060052,16
S (157.5–202.5°),FIDAS 200,0.9653,1.1973814046284486,16
S (157.5–202.5°),FIDAS 200,1.0373,1.0161648020441898,16
S (157.5–202.5°),FIDAS 200,1.1147,1.0543058647521673,16
S (157.5–202.5°),FIDAS 200,1.1979,0.9023346380503017,16
S (157.5–202.5°),FIDAS 200,1.2872,0.9035445860997825,16
S (157.5–202.5°),FIDAS 200,1.3833,0.9528597665873693,16
S (157.5–202.5°),FIDAS 200,1.4865,0.7208352614549692,16
S (157.5–202.5°),FIDAS 200,1.5974,0.7950709509149727,16
S (157.5–202.5°),FIDAS 200,1.7165,0.5395669256969051,16
S (157.5–202.5°),FIDAS 200,1.8446,0.6255007138468168,16
S (157.5–202.5°),FIDAS 200,1.9822,0.7196064275497528,16
S (157.5–202.5°),FIDAS 200,2.1301,0.6837830738814534,16
S (157.5–202.5°),FIDAS 200,2.2891,0.5662709949666335,16
S (157.5–202.5°),FIDAS 200,2.4598,0.547214335148106,16
S (157.5–202.5°),FIDAS 200,2.6434,0.6014295537306099,16
S (157.5–202.5°),FIDAS 200,2.8406,0.4166927355210287,16
S (157.5–202.5°),FIDAS 200,3.0525,0.46150561652270655,16
S (157.5–202.5°),FIDAS 200,3.2802,0.3731481286569646,16
S (157.5–202.5°),FIDAS 200,3.525,0.4482645560205642,16
S (157.5–202.5°),FIDAS 200,3.788,0.5061690713647177,16
S (157.5–202.5°),FIDAS 200,4.0706,0.3607442770369495,16
S (157.5–202.5°),FIDAS 200,4.3743,0.3272175087939806,16
S (157.5–202.5°),FIDAS 200,4.7006,0.49077896194853016,16
S (157.5–202.5°),FIDAS 200,5.0513,0.2876316460413719,16
S (157.5–202.5°),FIDAS 200,5.4282,0.2810442018388382,16
S (157.5–202.5°),FIDAS 200,5.8332,0.3665212536803463,16
S (157.5–202.5°),FIDAS 200,6.2684,0.22016178411127985,16
S (157.5–202.5°),FIDAS 200,6.7361,0.16176176529254233,16
