Wind_Speed_Class,Instrument,Diameter_um,dN_dlnDp,N_Samples
6–8 m/s,FIDAS 200,0.1037,0.0,150
6–8 m/s,FIDAS 200,0.11,0.0,150
6–8 m/s,FIDAS 200,0.1198,0.0,150
6–8 m/s,FIDAS 200,0.1287,0.0,150
6–8 m/s,FIDAS 200,0.1383,0.0,150
6–8 m/s,FIDAS 200,0.1486,0.0,150
6–8 m/s,FIDAS 200,0.1597,2.499746164406593,150
6–8 m/s,FIDAS 200,0.1717,175.16681867676155,150
6–8 m/s,FIDAS 200,0.1845,715.9993906692698,150
6–8 m/s,FIDAS 200,0.1982,953.2596987751427,150
6–8 m/s,FIDAS 200,0.213,785.2102150758382,150
6–8 m/s,FIDAS 200,0.2289,676.470392508311,150
6–8 m/s,FIDAS 200,0.246,630.0570039984699,150
6–8 m/s,FIDAS 200,0.2643,618.2661434461663,150
6–8 m/s,FIDAS 200,0.2841,358.75863501370014,150
6–8 m/s,FIDAS 200,0.3053,116.70099994860693,150
6–8 m/s,FIDAS 200,0.328,55.297512053611534,150
6–8 m/s,FIDAS 200,0.3525,26.42455239304432,150
6–8 m/s,FIDAS 200,0.3788,13.605658149919611,150
6–8 m/s,FIDAS 200,0.4071,9.858246631422901,150
6–8 m/s,FIDAS 200,0.4374,7.95984465972371,150
6–8 m/s,FIDAS 200,0.4701,7.55277408519283,150
6–8 m/s,FIDAS 200,0.5051,5.889392830815934,150
6–8 m/s,FIDAS 200,0.5428,3.5879385795732266,150
6–8 m/s,FIDAS 200,0.5833,2.7676024566936035,150
6–8 m/s,FIDAS 200,0.6268,2.0717265584218283,150
6–8 m/s,FIDAS 200,0.6736,1.8649055919173452,150
6–8 m/s,FIDAS 200,0.7239,1.9763387678027715,150
6–8 m/s,FIDAS 200,0.7779,1.8068223661495508,150
6–8 m/s,FIDAS 200,0.8359,1.9867260722978357,150
6–8 m/s,FIDAS 200,0.8983,1.614533176396123,150
6–8 m/s,FIDAS 200,0.9653,1.49734203306437,150
6–8 m/s,FIDAS 200,1.0373,1.2985773269064957,150
6–8 m/s,FIDAS 200,1.1147,1.3650224968368865,150
6–8 m/s,FIDAS 200,1.1979,1.1700533197097591,150
6–8 m/s,FIDAS 200,1.2872,1.2216910643263195,150
6–8 m/s,FIDAS 200,1.3833,1.161828920768146,150
6–8 m/s,FIDAS 200,1.4865,1.0760596150082826,150
6–8 m/s,FIDAS 200,1.5974,0.989672289994701,150
6–8 m/s,FIDAS 200,1.7165,0.7711088159501168,150
6–8 m/s,FIDAS 200,1.8446,0.7236780649357828,150
6–8 m/s,FIDAS 200,1.9822,0.647166559563132,150
6–8 m/s,FIDAS 200,2.1301,0.5555532009731113,150
6–8 m/s,FIDAS 200,2.2891,0.5019313805330378,150
6–8 m/s,FIDAS 200,2.4598,0.44867418248456664,150
6–8 m/s,FIDAS 200,2.6434,0.4092416641603047,150
6–8 m/s,FIDAS 200,2.8406,0.3803532759336877,150
6–8 m/s,FIDAS 200,3.0525,0.33108481300970233,150
6–8 m/s,FIDAS 200,3.2802,0.32038345202364693,150
6–8 m/s,FIDAS 200,3.525,0.25247859556888297,150
6–8 m/s,FIDAS 200,3.788,0.2656431145900338,150
6–8 m/s,FIDAS 200,4.0706,0.2596035789174679,150
6–8 m/s,FIDAS 200,4.3743,0.2573583398996781,150
6–8 m/s,FIDAS 200,4.7006,0.17632145963324414,150
6–8 m/s,FIDAS 200,5.0513,0.1519700787146369,150
6–8 m/s,FIDAS 200,5.4282,0.13919463950510735,150
6–8 m/s,FIDAS 200,5.8332,0.1244940405475376,150
6–8 m/s,FIDAS 200,6.2684,0.11265811607254739,150
6–8 m/s,FIDAS 200,6.7361,0.08721481793995159,150
6–8 m/s,FIDAS 200,7.2386,0.10269463497157591,150
6–8 m/s,FIDAS 200,7.7787,0.07683150452970068,150
6–8 m/s,FIDAS 200,8.359,0.08238227731607059,150
6–8 m/s,FIDAS 200,8.9827,0.05088122334539832,150
6–8 m/s,FIDAS 200,9.6529,0.07648071702055458,150
6–8 m/s,FIDAS 200,10.373,0.039014198295880105,150
6–8 m/s,FIDAS 200,11.1469,0.03613180544471753,150
6–8 m/s,FIDAS 200,11.9786,0.012848052874213837,150
6–8 m/s,FIDAS 200,12.8723,0.02975799546028073,150
6–8 m/s,FIDAS 200,13.8327,0.027647103580482977,150
6–8 m/s,FIDAS 200,14.8647,0.02140698025470812,150
6–8 m/s,FIDAS 200,15.9737,0.02032611698056143,150
6–8 m/s,FIDAS 200,17.1655,0.01377513240077136,150
6–8 m/s,FIDAS 200,18.4462,0.01333259841256541,150
6–8 m/s,FIDAS 200,19.8224,0.014129409189301546,150
6–8 m/s,FIDAS 200,21.3013,0.015213477762489137,150
6–8 m/s,FIDAS 200,22.8905,0.01629706680515698,150
6–8 m/s,FIDAS 200,24.5984,0.017705327103771894,150
6–8 m/s,FIDAS 200,26.4336,0.005095836626602549,150
6–8 m/s,UCASS 1,0.7765307463326871,0.0,106
6–8 m/s,UCASS 1,1.7052272575818157,0.0,106
6–8 m/s,UCASS 1,2.4781242906682466,0.0,106
6–8 m/s,UCASS 1,3.1246599815019875,0.0,106
6–8 m/s,UCASS 1,3.668105778191245,0.0,106
6–8 m/s,UCASS 1,4.161249812255929,0.0,106
6–8 m/s,UCASS 1,4.678589531044587,0.0,106
6–8 m/s,UCASS 1,5.145298825141257,0.0,106
6–8 m/s,UCASS 1,5.604863959098383,0.0,106
6–8 m/s,UCASS 1,6.061188002363893,0.0,106
6–8 m/s,UCASS 1,6.520398760812102,0.0,106
6–8 m/s,UCASS 1,6.971986804347811,0.0,106
6–8 m/s,UCASS 1,7.420956811624765,0.0,106
6–8 m/s,UCASS 1,7.891793205602894,0.0,106
6–8 m/s,UCASS 1,10.85080642164443,0.0,106
6–8 m/s,UCASS 2,4.069004792329446,0.11496034556206752,106
