Wind_Speed_Class,Instrument,Diameter_um,dN_dlnDp,N_Samples
< 4 m/s,FIDAS 200,0.1037,0.0,1184
< 4 m/s,FIDAS 200,0.11,0.0,1184
< 4 m/s,FIDAS 200,0.1198,0.0,1184
< 4 m/s,FIDAS 200,0.1287,0.0,1184
< 4 m/s,FIDAS 200,0.1383,0.0,1184
< 4 m/s,FIDAS 200,0.1486,0.0,1184
< 4 m/s,FIDAS 200,0.1597,2.514480797531036,1184
< 4 m/s,FIDAS 200,0.1717,159.44934316011276,1184
< 4 m/s,FIDAS 200,0.1845,626.135300872807,1184
< 4 m/s,FIDAS 200,0.1982,808.7720897672917,1184
< 4 m/s,FIDAS 200,0.213,662.2366547281727,1184
< 4 m/s,FIDAS 200,0.2289,551.4937002609315,1184
< 4 m/s,FIDAS 200,0.246,502.57177083080626,1184
< 4 m/s,FIDAS 200,0.2643,478.2195559709832,1184
< 4 m/s,FIDAS 200,0.2841,412.77815750187057,1184
< 4 m/s,FIDAS 200,0.3053,213.3525642181038,1184
< 4 m/s,FIDAS 200,0.328,61.13461576296185,1184
< 4 m/s,FIDAS 200,0.3525,29.181171875786745,1184
< 4 m/s,FIDAS 200,0.3788,13.423355416210098,1184
< 4 m/s,FIDAS 200,0.4071,8.541512705961802,1184
< 4 m/s,FIDAS 200,0.4374,6.478356278870429,1184
< 4 m/s,FIDAS 200,0.4701,5.773183057717905,1184
< 4 m/s,FIDAS 200,0.5051,5.280523568158689,1184
< 4 m/s,FIDAS 200,0.5428,3.6202204742476467,1184
< 4 m/s,FIDAS 200,0.5833,2.543740165111794,1184
< 4 m/s,FIDAS 200,0.6268,1.8886925740504423,1184
< 4 m/s,FIDAS 200,0.6736,1.638770697841635,1184
< 4 m/s,FIDAS 200,0.7239,1.5166226642912701,1184
< 4 m/s,FIDAS 200,0.7779,1.3628041691361632,1184
< 4 m/s,FIDAS 200,0.8359,1.2875976160902143,1184
< 4 m/s,FIDAS 200,0.8983,1.2137404235297238,1184
< 4 m/s,FIDAS 200,0.9653,1.112120434042687,1184
< 4 m/s,FIDAS 200,1.0373,1.0446870290962211,1184
< 4 m/s,FIDAS 200,1.1147,0.990595938692546,1184
< 4 m/s,FIDAS 200,1.1979,0.9208145901411919,1184
< 4 m/s,FIDAS 200,1.2872,0.9166024752999077,1184
< 4 m/s,FIDAS 200,1.3833,0.8412626910298091,1184
< 4 m/s,FIDAS 200,1.4865,0.795777736513421,1184
< 4 m/s,FIDAS 200,1.5974,0.731274276798615,1184
< 4 m/s,FIDAS 200,1.7165,0.6836383090014009,1184
< 4 m/s,FIDAS 200,1.8446,0.6331919367429555,1184
< 4 m/s,FIDAS 200,1.9822,0.6174924272349293,1184
