bin_lower_ms,bin_upper_ms,count,frequency_pct,cumulative_pct
0.0,0.5,2805,3.6971622138159197,3.6971622138159197
0.5,1.0,5927,7.812149889941874,11.509312103757793
1.0,1.5,6638,8.749291542000027,20.25860364575782
1.5,2.0,6913,9.11175842570747,29.370362071465287
2.0,2.5,6587,8.682070410839737,38.05243248230503
2.5,3.0,6486,8.548946209914458,46.601378692219484
3.0,3.5,6254,8.243155966204906,54.84453465842439
3.5,4.0,5892,7.76601774110638,62.61055239953077
4.0,4.5,5297,6.981771210903004,69.59232361043378
4.5,5.0,4843,6.383371337436897,75.97569494787068
5.0,5.5,4470,5.891734436990075,81.86742938486074
5.5,6.0,3996,5.266973335617973,87.13440272047872
6.0,6.5,3378,4.452411393322701,91.58681411380142
6.5,7.0,2451,3.2305684798797927,94.81738259368122
7.0,7.5,1638,2.158984565501061,96.97636715918227
7.5,8.0,1060,1.3971450790177806,98.37351223820005
8.0,8.5,619,0.8158800036905719,99.18939224189063
8.5,9.0,336,0.44286862882073047,99.63226087071136
9.0,9.5,153,0.20166339348086834,99.83392426419222
9.5,10.0,80,0.10544491162398345,99.93936917581621
10.0,10.5,29,0.038223780463694,99.9775929562799
10.5,11.0,13,0.01713479813889731,99.9947277544188
11.0,11.5,1,0.001318061395299793,99.9960458158141
11.5,12.0,2,0.002636122790599586,99.9986819386047
12.0,12.5,0,0.0,99.9986819386047
12.5,13.0,1,0.001318061395299793,100.0
13.0,13.5,0,0.0,100.0
13.5,14.0,0,0.0,100.0
14.0,14.5,0,0.0,100.0
14.5,15.0,0,0.0,100.0
