Wind_Direction_Class,Instrument,Diameter_um,dN_dlnDp,N_Samples
NE (22.5–67.5°),FIDAS 200,0.10373,0.0,57
NE (22.5–67.5°),FIDAS 200,0.111469,0.0,57
NE (22.5–67.5°),FIDAS 200,0.119786,0.0,57
NE (22.5–67.5°),FIDAS 200,0.128723,0.0,57
NE (22.5–67.5°),FIDAS 200,0.138327,0.0,57
NE (22.5–67.5°),FIDAS 200,0.148647,0.0,57
NE (22.5–67.5°),FIDAS 200,0.159737,3.515449135648533,57
NE (22.5–67.5°),FIDAS 200,0.171655,195.9529394095312,57
NE (22.5–67.5°),FIDAS 200,0.184462,740.7554520465458,57
NE (22.5–67.5°),FIDAS 200,0.198224,962.7653006900307,57
NE (22.5–67.5°),FIDAS 200,0.213013,797.9754879061336,57
NE (22.5–67.5°),FIDAS 200,0.228905,661.9101916328162,57
NE (22.5–67.5°),FIDAS 200,0.245984,591.3976523134177,57
NE (22.5–67.5°),FIDAS 200,0.264336,545.5650779903466,57
NE (22.5–67.5°),FIDAS 200,0.284057,430.85571283598983,57
NE (22.5–67.5°),FIDAS 200,0.30525,176.62210835557912,57
NE (22.5–67.5°),FIDAS 200,0.328024,54.25763424112912,57
NE (22.5–67.5°),FIDAS 200,0.352497,26.83657927812117,57
NE (22.5–67.5°),FIDAS 200,0.378797,13.415664847747808,57
NE (22.5–67.5°),FIDAS 200,0.407058,9.198954244449805,57
NE (22.5–67.5°),FIDAS 200,0.437427,7.75627359227004,57
NE (22.5–67.5°),FIDAS 200,0.470063,7.306935290648514,57
NE (22.5–67.5°),FIDAS 200,0.505133,6.578973692725827,57
NE (22.5–67.5°),FIDAS 200,0.54282,5.162819975949092,57
NE (22.5–67.5°),FIDAS 200,0.583319,4.514111613313315,57
NE (22.5–67.5°),FIDAS 200,0.626839,3.4903122954250265,57
NE (22.5–67.5°),FIDAS 200,0.673606,3.66859391509403,57
NE (22.5–67.5°),FIDAS 200,0.723862,3.7049602652665627,57
NE (22.5–67.5°),FIDAS 200,0.777868,2.972125410812949,57
NE (22.5–67.5°),FIDAS 200,0.835903,3.293321257184609,57
NE (22.5–67.5°),FIDAS 200,0.898268,2.7575813410539296,57
NE (22.5–67.5°),FIDAS 200,0.965286,2.7524107449316673,57
NE (22.5–67.5°),FIDAS 200,1.037304,2.6771648038190716,57
NE (22.5–67.5°),FIDAS 200,1.114695,2.4624214452804565,57
NE (22.5–67.5°),FIDAS 200,1.19786,2.227164319563426,57
NE (22.5–67.5°),FIDAS 200,1.28723,2.0611286253234424,57
NE (22.5–67.5°),FIDAS 200,1.383267,2.090719302249979,57
NE (22.5–67.5°),FIDAS 200,1.48647,1.8786842247628772,57
NE (22.5–67.5°),FIDAS 200,1.597372,1.6396575234294213,57
NE (22.5–67.5°),FIDAS 200,1.716548,1.4102425510512977,57
NE (22.5–67.5°),FIDAS 200,1.844616,1.0672645278026132,57
NE (22.5–67.5°),FIDAS 200,1.982239,1.053278709332519,57
NE (22.5–67.5°),FIDAS 200,2.13013,0.8780084890511958,57
NE (22.5–67.5°),FIDAS 200,2.289054,0.8652988184387165,57
NE (22.5–67.5°),FIDAS 200,2.459835,0.6533837784967982,57
NE (22.5–67.5°),FIDAS 200,2.643358,0.6110591418277366,57
NE (22.5–67.5°),FIDAS 200,2.840573,0.5687131407460245,57
NE (22.5–67.5°),FIDAS 200,3.052502,0.4152168088167718,57
NE (22.5–67.5°),FIDAS 200,3.280243,0.5051423144855577,57
NE (22.5–67.5°),FIDAS 200,3.524975,0.5276084911517388,57
NE (22.5–67.5°),FIDAS 200,3.787966,0.4276610801746236,57
NE (22.5–67.5°),FIDAS 200,4.070578,0.32202630468761956,57
NE (22.5–67.5°),FIDAS 200,4.374274,0.3701278841256451,57
NE (22.5–67.5°),FIDAS 200,4.700629,0.2783616204689133,57
NE (22.5–67.5°),FIDAS 200,5.051333,0.19875339584709548,57
NE (22.5–67.5°),FIDAS 200,5.428202,0.2358501059051011,57
NE (22.5–67.5°),FIDAS 200,5.833189,0.11919513045158563,57
NE (22.5–67.5°),FIDAS 200,6.26839,0.14711180171538546,57
NE (22.5–67.5°),FIDAS 200,6.736061,0.14514280722379552,57
NE (22.5–67.5°),FIDAS 200,7.238624,0.15278675237945005,57
NE (22.5–67.5°),FIDAS 200,7.778682,0.09193155661646225,57
NE (22.5–67.5°),FIDAS 200,8.359033,0.07434490653737902,57
NE (22.5–67.5°),FIDAS 200,8.982682,0.058853158052749176,57
NE (22.5–67.5°),FIDAS 200,9.652861,0.045334029610791776,57
NE (22.5–67.5°),FIDAS 200,10.373039,0.060036032189909924,57
NE (22.5–67.5°),FIDAS 200,11.146949,0.04108898488433076,57
NE (22.5–67.5°),FIDAS 200,11.978599,0.04387289713322421,57
NE (22.5–67.5°),FIDAS 200,12.872296,0.0404141975830561,57
NE (22.5–67.5°),FIDAS 200,13.83267,0.02758944777777271,57
NE (22.5–67.5°),FIDAS 200,14.864696,0.05736990389165194,57
NE (22.5–67.5°),FIDAS 200,15.973718,0.02200356077872207,57
NE (22.5–67.5°),FIDAS 200,17.165483,0.016731779260993784,57
NE (22.5–67.5°),FIDAS 200,18.446161,0.015325066962736715,57
NE (22.5–67.5°),FIDAS 200,19.82239,0.01620352569799224,57
NE (22.5–67.5°),FIDAS 200,21.301296,0.017448083323066237,57
