Wind_Direction_Class,Instrument,Diameter_um,dN_dlnDp,N_Samples
SW (202.5–247.5°),FIDAS 200,0.10373,0.0,193
SW (202.5–247.5°),FIDAS 200,0.111469,0.0,193
SW (202.5–247.5°),FIDAS 200,0.119786,0.0,193
SW (202.5–247.5°),FIDAS 200,0.128723,0.0,193
SW (202.5–247.5°),FIDAS 200,0.138327,0.0,193
SW (202.5–247.5°),FIDAS 200,0.148647,0.0,193
SW (202.5–247.5°),FIDAS 200,0.159737,3.6269648993731836,193
SW (202.5–247.5°),FIDAS 200,0.171655,201.2248143842658,193
SW (202.5–247.5°),FIDAS 200,0.184462,741.1713434726677,193
SW (202.5–247.5°),FIDAS 200,0.198224,944.7260093621129,193
SW (202.5–247.5°),FIDAS 200,0.213013,779.924644982581,193
SW (202.5–247.5°),FIDAS 200,0.228905,645.7741309734771,193
SW (202.5–247.5°),FIDAS 200,0.245984,569.3374647747568,193
SW (202.5–247.5°),FIDAS 200,0.264336,517.0232843092357,193
SW (202.5–247.5°),FIDAS 200,0.284057,439.3707317217908,193
SW (202.5–247.5°),FIDAS 200,0.30525,189.31569069230875,193
SW (202.5–247.5°),FIDAS 200,0.328024,56.65481933667895,193
SW (202.5–247.5°),FIDAS 200,0.352497,27.921539889969132,193
SW (202.5–247.5°),FIDAS 200,0.378797,13.87885347644256,193
SW (202.5–247.5°),FIDAS 200,0.407058,9.479244371614106,193
SW (202.5–247.5°),FIDAS 200,0.437427,7.81024028104143,193
SW (202.5–247.5°),FIDAS 200,0.470063,7.099048643054033,193
SW (202.5–247.5°),FIDAS 200,0.505133,7.312752109625155,193
SW (202.5–247.5°),FIDAS 200,0.54282,5.543442487048992,193
SW (202.5–247.5°),FIDAS 200,0.583319,4.58902048504485,193
SW (202.5–247.5°),FIDAS 200,0.626839,3.664813404844004,193
SW (202.5–247.5°),FIDAS 200,0.673606,3.2580575782628696,193
SW (202.5–247.5°),FIDAS 200,0.723862,3.2489213164620105,193
SW (202.5–247.5°),FIDAS 200,0.777868,3.1777072839072185,193
SW (202.5–247.5°),FIDAS 200,0.835903,2.8815241839951096,193
SW (202.5–247.5°),FIDAS 200,0.898268,2.7510059073839495,193
SW (202.5–247.5°),FIDAS 200,0.965286,2.6696270565112137,193
