Wind_Direction_Class,Instrument,Diameter_um,dN_dlnDp,N_Samples
SE (112.5–157.5°),FIDAS 200,0.10373,0.0,703
SE (112.5–157.5°),FIDAS 200,0.111469,0.0,703
SE (112.5–157.5°),FIDAS 200,0.119786,0.0,703
SE (112.5–157.5°),FIDAS 200,0.128723,0.0,703
SE (112.5–157.5°),FIDAS 200,0.138327,0.0,703
SE (112.5–157.5°),FIDAS 200,0.148647,0.0,703
SE (112.5–157.5°),FIDAS 200,0.159737,6.66864780504049,703
SE (112.5–157.5°),FIDAS 200,0.171655,224.3494799181805,703
SE (112.5–157.5°),FIDAS 200,0.184462,837.8905128784171,703
SE (112.5–157.5°),FIDAS 200,0.198224,1145.0604807257441,703
SE (112.5–157.5°),FIDAS 200,0.213013,1008.9185379213193,703
SE (112.5–157.5°),FIDAS 200,0.228905,949.2726826488157,703
SE (112.5–157.5°),FIDAS 200,0.245984,973.7445420278448,703
SE (112.5–157.5°),FIDAS 200,0.264336,1061.9200673491478,703
SE (112.5–157.5°),FIDAS 200,0.284057,768.8030217646422,703
SE (112.5–157.5°),FIDAS 200,0.30525,319.03806887618157,703
SE (112.5–157.5°),FIDAS 200,0.328024,160.86753741542972,703
SE (112.5–157.5°),FIDAS 200,0.352497,83.83631794110816,703
SE (112.5–157.5°),FIDAS 200,0.378797,45.72516394175351,703
SE (112.5–157.5°),FIDAS 200,0.407058,33.26439247216696,703
SE (112.5–157.5°),FIDAS 200,0.437427,26.89998174071712,703
SE (112.5–157.5°),FIDAS 200,0.470063,25.81536148657342,703
SE (112.5–157.5°),FIDAS 200,0.505133,21.752894182495165,703
SE (112.5–157.5°),FIDAS 200,0.54282,12.646372065517994,703
SE (112.5–157.5°),FIDAS 200,0.583319,8.728592219827796,703
SE (112.5–157.5°),FIDAS 200,0.626839,6.393003887133012,703
SE (112.5–157.5°),FIDAS 200,0.673606,5.529110326323363,703
SE (112.5–157.5°),FIDAS 200,0.723862,5.561365469564368,703
SE (112.5–157.5°),FIDAS 200,0.777868,5.043852145421763,703
SE (112.5–157.5°),FIDAS 200,0.835903,4.863081030026557,703
SE (112.5–157.5°),FIDAS 200,0.898268,4.279031409447574,703
SE (112.5–157.5°),FIDAS 200,0.965286,4.072369717774363,703
SE (112.5–157.5°),FIDAS 200,1.037304,3.758193538189401,703
SE (112.5–157.5°),FIDAS 200,1.114695,3.6283979636660417,703
SE (112.5–157.5°),FIDAS 200,1.19786,3.2653581389220596,703
SE (112.5–157.5°),FIDAS 200,1.28723,3.1056682481117086,703
SE (112.5–157.5°),FIDAS 200,1.383267,2.8692577881756094,703
SE (112.5–157.5°),FIDAS 200,1.48647,2.5080143180729157,703
SE (112.5–157.5°),FIDAS 200,1.597372,2.2694572911686435,703
SE (112.5–157.5°),FIDAS 200,1.716548,1.769207744524218,703
SE (112.5–157.5°),FIDAS 200,1.844616,1.4460875058092708,703
SE (112.5–157.5°),FIDAS 200,1.982239,1.237665257701443,703
SE (112.5–157.5°),FIDAS 200,2.13013,1.0703881116121576,703
SE (112.5–157.5°),FIDAS 200,2.289054,0.8995874593523296,703
SE (112.5–157.5°),FIDAS 200,2.459835,0.8321782827749806,703
SE (112.5–157.5°),FIDAS 200,2.643358,0.7162690682892852,703
SE (112.5–157.5°),FIDAS 200,2.840573,0.6524552035689287,703
SE (112.5–157.5°),FIDAS 200,3.052502,0.5873598010597777,703
SE (112.5–157.5°),FIDAS 200,3.280243,0.5418611767890789,703
SE (112.5–157.5°),FIDAS 200,3.524975,0.4553270457099128,703
SE (112.5–157.5°),FIDAS 200,3.787966,0.4129427692397966,703
