Wind_Direction_Class,Instrument,Diameter_um,dN_dlnDp,N_Samples
W (247.5–292.5°),FIDAS 200,0.10373,0.0,5648
W (247.5–292.5°),FIDAS 200,0.111469,0.0,5648
W (247.5–292.5°),FIDAS 200,0.119786,0.0,5648
W (247.5–292.5°),FIDAS 200,0.128723,0.0,5648
W (247.5–292.5°),FIDAS 200,0.138327,0.0,5648
W (247.5–292.5°),FIDAS 200,0.148647,0.0,5648
W (247.5–292.5°),FIDAS 200,0.159737,72.50021235946444,5648
W (247.5–292.5°),FIDAS 200,0.171655,612.6409685425863,5648
W (247.5–292.5°),FIDAS 200,0.184462,949.5526413639752,5648
W (247.5–292.5°),FIDAS 200,0.198224,1133.6779589505827,5648
W (247.5–292.5°),FIDAS 200,0.213013,925.0061351786474,5648
W (247.5–292.5°),FIDAS 200,0.228905,797.7896761858383,5648
W (247.5–292.5°),FIDAS 200,0.245984,727.8533040029655,5648
W (247.5–292.5°),FIDAS 200,0.264336,652.2716119489222,5648
W (247.5–292.5°),FIDAS 200,0.284057,428.09229555063706,5648
W (247.5–292.5°),FIDAS 200,0.30525,166.77080515664807,5648
W (247.5–292.5°),FIDAS 200,0.328024,68.8108567802484,5648
W (247.5–292.5°),FIDAS 200,0.352497,34.13449215287356,5648
W (247.5–292.5°),FIDAS 200,0.378797,18.847990674739943,5648
W (247.5–292.5°),FIDAS 200,0.407058,13.58384200060978,5648
W (247.5–292.5°),FIDAS 200,0.437427,11.067418922678009,5648
W (247.5–292.5°),FIDAS 200,0.470063,10.199552177152187,5648
W (247.5–292.5°),FIDAS 200,0.505133,8.574711506504482,5648
W (247.5–292.5°),FIDAS 200,0.54282,6.0420846169611915,5648
W (247.5–292.5°),FIDAS 200,0.583319,4.769636971374325,5648
W (247.5–292.5°),FIDAS 200,0.626839,3.9749608687024107,5648
W (247.5–292.5°),FIDAS 200,0.673606,3.752126361489205,5648
W (247.5–292.5°),FIDAS 200,0.723862,3.8037823861213167,5648
W (247.5–292.5°),FIDAS 200,0.777868,3.356054091263026,5648
W (247.5–292.5°),FIDAS 200,0.835903,3.3779836593776844,5648
W (247.5–292.5°),FIDAS 200,0.898268,2.898859595151904,5648
W (247.5–292.5°),FIDAS 200,0.965286,2.897440788428054,5648
W (247.5–292.5°),FIDAS 200,1.037304,2.5117245197666116,5648
W (247.5–292.5°),FIDAS 200,1.114695,2.4109990686620644,5648
W (247.5–292.5°),FIDAS 200,1.19786,2.2027194857860724,5648
W (247.5–292.5°),FIDAS 200,1.28723,2.0383817403095685,5648
W (247.5–292.5°),FIDAS 200,1.383267,1.8892859783147313,5648
W (247.5–292.5°),FIDAS 200,1.48647,1.625235893174298,5648
W (247.5–292.5°),FIDAS 200,1.597372,1.4818826492119765,5648
W (247.5–292.5°),FIDAS 200,1.716548,1.2223576805806329,5648
W (247.5–292.5°),FIDAS 200,1.844616,1.0392337485475878,5648
W (247.5–292.5°),FIDAS 200,1.982239,0.8760766326622849,5648
W (247.5–292.5°),FIDAS 200,2.13013,0.7710544561429689,5648
W (247.5–292.5°),FIDAS 200,2.289054,0.6642509465102643,5648
W (247.5–292.5°),FIDAS 200,2.459835,0.6027976032348246,5648
W (247.5–292.5°),FIDAS 200,2.643358,0.541278418436926,5648
W (247.5–292.5°),FIDAS 200,2.840573,0.48161116860102493,5648
W (247.5–292.5°),FIDAS 200,3.052502,0.4491298725383372,5648
W (247.5–292.5°),FIDAS 200,3.280243,0.41083214321917505,5648
W (247.5–292.5°),FIDAS 200,3.524975,0.35784571991595554,5648
W (247.5–292.5°),FIDAS 200,3.787966,0.3091883812184231,5648
W (247.5–292.5°),FIDAS 200,4.070578,0.25562925418981725,5648
W (247.5–292.5°),FIDAS 200,4.374274,0.2289921118614835,5648
W (247.5–292.5°),FIDAS 200,4.700629,0.1987778836413261,5648
W (247.5–292.5°),FIDAS 200,5.051333,0.16752482389682283,5648
W (247.5–292.5°),FIDAS 200,5.428202,0.1393967361048519,5648
W (247.5–292.5°),FIDAS 200,5.833189,0.12095250471678426,5648
W (247.5–292.5°),FIDAS 200,6.26839,0.1097386634838998,5648
W (247.5–292.5°),FIDAS 200,6.736061,0.0918281235207076,5648
W (247.5–292.5°),FIDAS 200,7.238624,0.08428144961809032,5648
W (247.5–292.5°),FIDAS 200,7.778682,0.07376020397519673,5648
W (247.5–292.5°),FIDAS 200,8.359033,0.06286268984583578,5648
W (247.5–292.5°),FIDAS 200,8.982682,0.05032106640583456,5648
W (247.5–292.5°),FIDAS 200,9.652861,0.04867824975495149,5648
W (247.5–292.5°),FIDAS 200,10.373039,0.038688972283064296,5648
W (247.5–292.5°),FIDAS 200,11.146949,0.03068656319549698,5648
W (247.5–292.5°),FIDAS 200,11.978599,0.027201778686575306,5648
W (247.5–292.5°),FIDAS 200,12.872296,0.022469675685733853,5648
W (247.5–292.5°),FIDAS 200,13.83267,0.02061917189097242,5648
W (247.5–292.5°),FIDAS 200,14.864696,0.016282189160794384,5648
W (247.5–292.5°),FIDAS 200,15.973718,0.014661142887250565,5648
W (247.5–292.5°),FIDAS 200,17.165483,0.011725963662299551,5648
W (247.5–292.5°),FIDAS 200,18.446161,0.010153935849033352,5648
W (247.5–292.5°),FIDAS 200,19.82239,0.010790915488639866,5648
W (247.5–292.5°),FIDAS 200,21.301296,0.011615901721094496,5648
W (247.5–292.5°),FIDAS 200,22.890539,0.01244605096096222,5648
W (247.5–292.5°),FIDAS 200,24.598352,0.01350084287987289,5648
W (247.5–292.5°),FIDAS 200,26.433582,0.003899272908889476,5648
W (247.5–292.5°),UCASS 1,0.7765307463326871,7.7285074150606565,508
W (247.5–292.5°),UCASS 1,1.7052272575818157,1.1749344195639342,508
W (247.5–292.5°),UCASS 1,2.4781242906682466,0.3988466230396187,508
