Wind_Speed_Class,Instrument,Diameter_um,dN_dlnDp,N_Samples
> 4 m/s,FIDAS 200,0.10373,0.0,2754
> 4 m/s,FIDAS 200,0.111469,0.0,2754
> 4 m/s,FIDAS 200,0.119786,0.0,2754
> 4 m/s,FIDAS 200,0.128723,0.0,2754
> 4 m/s,FIDAS 200,0.138327,0.0,2754
> 4 m/s,FIDAS 200,0.148647,0.0,2754
> 4 m/s,FIDAS 200,0.159737,112.97893759709008,2754
> 4 m/s,FIDAS 200,0.171655,843.0561898919713,2754
> 4 m/s,FIDAS 200,0.184462,1018.8208050554902,2754
> 4 m/s,FIDAS 200,0.198224,1159.035167943049,2754
> 4 m/s,FIDAS 200,0.213013,929.3318866598266,2754
> 4 m/s,FIDAS 200,0.228905,787.0785864313999,2754
> 4 m/s,FIDAS 200,0.245984,695.8931559819171,2754
> 4 m/s,FIDAS 200,0.264336,635.0703049952139,2754
> 4 m/s,FIDAS 200,0.284057,423.92091404825885,2754
> 4 m/s,FIDAS 200,0.30525,163.67947683765152,2754
> 4 m/s,FIDAS 200,0.328024,67.47227039424314,2754
> 4 m/s,FIDAS 200,0.352497,33.29762402834664,2754
> 4 m/s,FIDAS 200,0.378797,17.9540159995998,2754
> 4 m/s,FIDAS 200,0.407058,12.678364043285606,2754
> 4 m/s,FIDAS 200,0.437427,10.245656382140542,2754
> 4 m/s,FIDAS 200,0.470063,9.869737620447342,2754
> 4 m/s,FIDAS 200,0.505133,8.212078142872398,2754
> 4 m/s,FIDAS 200,0.54282,5.78497011884278,2754
> 4 m/s,FIDAS 200,0.583319,4.553584841221357,2754
> 4 m/s,FIDAS 200,0.626839,3.74742798389354,2754
> 4 m/s,FIDAS 200,0.673606,3.5637845794694227,2754
> 4 m/s,FIDAS 200,0.723862,3.626279372498095,2754
> 4 m/s,FIDAS 200,0.777868,3.122282465420795,2754
> 4 m/s,FIDAS 200,0.835903,3.222828483669091,2754
> 4 m/s,FIDAS 200,0.898268,2.6980772077513806,2754
> 4 m/s,FIDAS 200,0.965286,2.7342780837932517,2754
> 4 m/s,FIDAS 200,1.037304,2.3450545949837074,2754
> 4 m/s,FIDAS 200,1.114695,2.271255963091287,2754
> 4 m/s,FIDAS 200,1.19786,2.0794193868877184,2754
> 4 m/s,FIDAS 200,1.28723,1.9556921936744893,2754
> 4 m/s,FIDAS 200,1.383267,1.8017585245774739,2754
> 4 m/s,FIDAS 200,1.48647,1.5881307647909944,2754
> 4 m/s,FIDAS 200,1.597372,1.434862615980083,2754
> 4 m/s,FIDAS 200,1.716548,1.1983166398810576,2754
> 4 m/s,FIDAS 200,1.844616,1.0143624859013125,2754
> 4 m/s,FIDAS 200,1.982239,0.870581569453248,2754
> 4 m/s,FIDAS 200,2.13013,0.7646801203283526,2754
> 4 m/s,FIDAS 200,2.289054,0.6637626132320894,2754
> 4 m/s,FIDAS 200,2.459835,0.598156027281503,2754
> 4 m/s,FIDAS 200,2.643358,0.5454029682695387,2754
> 4 m/s,FIDAS 200,2.840573,0.47984309524865115,2754
> 4 m/s,FIDAS 200,3.052502,0.4559307745623784,2754
