Wind_Direction_Class,Instrument,Diameter_um,dN_dlnDp,N_Samples
E (67.5–112.5°),FIDAS 200,0.1037,0.0,912
E (67.5–112.5°),FIDAS 200,0.1198,0.0,912
E (67.5–112.5°),FIDAS 200,0.1287,0.0,912
E (67.5–112.5°),FIDAS 200,0.1383,0.0,912
E (67.5–112.5°),FIDAS 200,0.1486,0.0,912
E (67.5–112.5°),FIDAS 200,0.1597,5.660429854917422,912
E (67.5–112.5°),FIDAS 200,0.1717,211.2530778853186,912
E (67.5–112.5°),FIDAS 200,0.1845,812.0809601577807,912
E (67.5–112.5°),FIDAS 200,0.1982,1104.0035248365066,912
E (67.5–112.5°),FIDAS 200,0.213,962.6472726639985,912
E (67.5–112.5°),FIDAS 200,0.2289,893.4851395747162,912
E (67.5–112.5°),FIDAS 200,0.246,910.3125178086381,912
E (67.5–112.5°),FIDAS 200,0.2643,978.8208204657972,912
E (67.5–112.5°),FIDAS 200,0.2841,726.5258819425682,912
E (67.5–112.5°),FIDAS 200,0.3053,312.58438695188744,912
E (67.5–112.5°),FIDAS 200,0.328,152.08008167162106,912
E (67.5–112.5°),FIDAS 200,0.3525,79.9811499990397,912
E (67.5–112.5°),FIDAS 200,0.3788,44.145856172138366,912
E (67.5–112.5°),FIDAS 200,0.4071,32.28356589982232,912
E (67.5–112.5°),FIDAS 200,0.4374,26.216366221596253,912
E (67.5–112.5°),FIDAS 200,0.4701,25.723216124560402,912
E (67.5–112.5°),FIDAS 200,0.5051,22.501748310922526,912
E (67.5–112.5°),FIDAS 200,0.5428,13.23398546661236,912
E (67.5–112.5°),FIDAS 200,0.5833,9.158409865443106,912
E (67.5–112.5°),FIDAS 200,0.6268,6.429099604691722,912
E (67.5–112.5°),FIDAS 200,0.6736,5.524704386331939,912
E (67.5–112.5°),FIDAS 200,0.7239,5.578013877519542,912
E (67.5–112.5°),FIDAS 200,0.7779,4.860872502904817,912
E (67.5–112.5°),FIDAS 200,0.8359,4.741753757175098,912
E (67.5–112.5°),FIDAS 200,0.8983,4.196896970749538,912
E (67.5–112.5°),FIDAS 200,0.9653,3.9653265462675753,912
E (67.5–112.5°),FIDAS 200,1.0373,3.574867046925109,912
E (67.5–112.5°),FIDAS 200,1.1147,3.5373100521330825,912
E (67.5–112.5°),FIDAS 200,1.1979,3.1815176210580023,912
E (67.5–112.5°),FIDAS 200,1.2872,2.948285491818774,912
E (67.5–112.5°),FIDAS 200,1.3833,2.7342769378263267,912
E (67.5–112.5°),FIDAS 200,1.4865,2.4048525650916237,912
E (67.5–112.5°),FIDAS 200,1.5974,2.134555266405785,912
E (67.5–112.5°),FIDAS 200,1.7165,1.7131361675253793,912
E (67.5–112.5°),FIDAS 200,1.8446,1.411197142369718,912
E (67.5–112.5°),FIDAS 200,1.9822,1.2108937351736988,912
E (67.5–112.5°),FIDAS 200,2.1301,1.0379628462301194,912
E (67.5–112.5°),FIDAS 200,2.2891,0.8703541009909607,912
E (67.5–112.5°),FIDAS 200,2.4598,0.8146626928994274,912
E (67.5–112.5°),FIDAS 200,2.6434,0.7207548920699047,912
E (67.5–112.5°),FIDAS 200,2.8406,0.663434490954343,912
E (67.5–112.5°),FIDAS 200,3.0525,0.5937679347637221,912
E (67.5–112.5°),FIDAS 200,3.2802,0.5348362881953839,912
E (67.5–112.5°),FIDAS 200,3.525,0.47042926043712796,912
E (67.5–112.5°),FIDAS 200,3.788,0.41679576244567973,912
E (67.5–112.5°),FIDAS 200,4.0706,0.3549992269560984,912
E (67.5–112.5°),FIDAS 200,4.3743,0.3062363737027445,912
E (67.5–112.5°),FIDAS 200,4.7006,0.24811152246247636,912
E (67.5–112.5°),FIDAS 200,5.0513,0.23213172230649406,912
E (67.5–112.5°),FIDAS 200,5.4282,0.17440282593187864,912
E (67.5–112.5°),FIDAS 200,5.8332,0.16923508039359136,912
E (67.5–112.5°),FIDAS 200,6.2684,0.1421236904656633,912
E (67.5–112.5°),FIDAS 200,6.7361,0.10791314517254792,912
E (67.5–112.5°),FIDAS 200,7.2386,0.1289209640265312,912
E (67.5–112.5°),FIDAS 200,7.7787,0.09600542389389978,912
E (67.5–112.5°),FIDAS 200,8.359,0.09244015663240202,912
