Wind_Direction_Class,Instrument,Diameter_um,dN_dlnDp,N_Samples
N (337.5–360° and 0–22.5°),FIDAS 200,0.1037,0.0,611
N (337.5–360° and 0–22.5°),FIDAS 200,0.1198,0.0,611
N (337.5–360° and 0–22.5°),FIDAS 200,0.1287,0.0,611
N (337.5–360° and 0–22.5°),FIDAS 200,0.1383,0.0,611
N (337.5–360° and 0–22.5°),FIDAS 200,0.1486,0.0,611
N (337.5–360° and 0–22.5°),FIDAS 200,0.1597,19.34839883065334,611
N (337.5–360° and 0–22.5°),FIDAS 200,0.1717,278.2898107130496,611
N (337.5–360° and 0–22.5°),FIDAS 200,0.1845,798.482822885763,611
N (337.5–360° and 0–22.5°),FIDAS 200,0.1982,1010.9422341610568,611
N (337.5–360° and 0–22.5°),FIDAS 200,0.213,841.634096801095,611
N (337.5–360° and 0–22.5°),FIDAS 200,0.2289,738.1578586857468,611
N (337.5–360° and 0–22.5°),FIDAS 200,0.246,697.993521198609,611
N (337.5–360° and 0–22.5°),FIDAS 200,0.2643,658.1551015482074,611
N (337.5–360° and 0–22.5°),FIDAS 200,0.2841,506.3796138622447,611
N (337.5–360° and 0–22.5°),FIDAS 200,0.3053,232.2999048629984,611
N (337.5–360° and 0–22.5°),FIDAS 200,0.328,88.6154576228473,611
N (337.5–360° and 0–22.5°),FIDAS 200,0.3525,44.641193917497866,611
N (337.5–360° and 0–22.5°),FIDAS 200,0.3788,22.997510381386125,611
N (337.5–360° and 0–22.5°),FIDAS 200,0.4071,15.97272006180485,611
N (337.5–360° and 0–22.5°),FIDAS 200,0.4374,12.285536736332451,611
N (337.5–360° and 0–22.5°),FIDAS 200,0.4701,11.379569357771647,611
N (337.5–360° and 0–22.5°),FIDAS 200,0.5051,9.90954854240731,611
N (337.5–360° and 0–22.5°),FIDAS 200,0.5428,6.135264103983721,611
N (337.5–360° and 0–22.5°),FIDAS 200,0.5833,4.506067695075133,611
N (337.5–360° and 0–22.5°),FIDAS 200,0.6268,3.3638175113297772,611
N (337.5–360° and 0–22.5°),FIDAS 200,0.6736,3.0841789017771424,611
N (337.5–360° and 0–22.5°),FIDAS 200,0.7239,3.039507363116215,611
N (337.5–360° and 0–22.5°),FIDAS 200,0.7779,2.6883645987566194,611
N (337.5–360° and 0–22.5°),FIDAS 200,0.8359,2.7003106550782516,611
N (337.5–360° and 0–22.5°),FIDAS 200,0.8983,2.2821398287633654,611
N (337.5–360° and 0–22.5°),FIDAS 200,0.9653,2.21330771798491,611
N (337.5–360° and 0–22.5°),FIDAS 200,1.0373,2.0308317978599764,611
N (337.5–360° and 0–22.5°),FIDAS 200,1.1147,1.96702817613413,611
N (337.5–360° and 0–22.5°),FIDAS 200,1.1979,1.7285823154024607,611
N (337.5–360° and 0–22.5°),FIDAS 200,1.2872,1.6775563874614559,611
N (337.5–360° and 0–22.5°),FIDAS 200,1.3833,1.5587643212371258,611
N (337.5–360° and 0–22.5°),FIDAS 200,1.4865,1.396501374034765,611
N (337.5–360° and 0–22.5°),FIDAS 200,1.5974,1.2724261160842794,611
N (337.5–360° and 0–22.5°),FIDAS 200,1.7165,1.112694206044324,611
N (337.5–360° and 0–22.5°),FIDAS 200,1.8446,0.9512089968628741,611
N (337.5–360° and 0–22.5°),FIDAS 200,1.9822,0.8151065935338555,611
N (337.5–360° and 0–22.5°),FIDAS 200,2.1301,0.7611746959869976,611
N (337.5–360° and 0–22.5°),FIDAS 200,2.2891,0.657407441604091,611
N (337.5–360° and 0–22.5°),FIDAS 200,2.4598,0.6167309306740764,611
N (337.5–360° and 0–22.5°),FIDAS 200,2.6434,0.5671515968086486,611
N (337.5–360° and 0–22.5°),FIDAS 200,2.8406,0.5045149989549695,611
N (337.5–360° and 0–22.5°),FIDAS 200,3.0525,0.5103910058708484,611
N (337.5–360° and 0–22.5°),FIDAS 200,3.2802,0.43469735760452755,611
N (337.5–360° and 0–22.5°),FIDAS 200,3.525,0.3980924089175567,611
N (337.5–360° and 0–22.5°),FIDAS 200,3.788,0.3655359149640126,611
N (337.5–360° and 0–22.5°),FIDAS 200,4.0706,0.32824127137329473,611
N (337.5–360° and 0–22.5°),FIDAS 200,4.3743,0.28376904646761636,611
N (337.5–360° and 0–22.5°),FIDAS 200,4.7006,0.2468525034261803,611
N (337.5–360° and 0–22.5°),FIDAS 200,5.0513,0.22950848857189385,611
N (337.5–360° and 0–22.5°),FIDAS 200,5.4282,0.20484284367853436,611
N (337.5–360° and 0–22.5°),FIDAS 200,5.8332,0.17785851208768869,611
N (337.5–360° and 0–22.5°),FIDAS 200,6.2684,0.15262655998417815,611
N (337.5–360° and 0–22.5°),FIDAS 200,6.7361,0.1364233653193843,611
N (337.5–360° and 0–22.5°),FIDAS 200,7.2386,0.12248093079084851,611
N (337.5–360° and 0–22.5°),FIDAS 200,7.7787,0.13320105128372123,611
N (337.5–360° and 0–22.5°),FIDAS 200,8.359,0.10543057539560148,611
N (337.5–360° and 0–22.5°),FIDAS 200,8.9827,0.09190323460935816,611
N (337.5–360° and 0–22.5°),FIDAS 200,9.6529,0.08149992069846838,611
N (337.5–360° and 0–22.5°),FIDAS 200,10.373,0.06599832931606636,611
N (337.5–360° and 0–22.5°),FIDAS 200,11.1469,0.05572807741155525,611
N (337.5–360° and 0–22.5°),FIDAS 200,11.9786,0.052559695758096076,611
