Wind_Direction_Class,Instrument,Diameter_um,dN_dlnDp,N_Samples
NW (292.5–337.5°),FIDAS 200,0.1037,0.0,2808
NW (292.5–337.5°),FIDAS 200,0.1198,0.0,2808
NW (292.5–337.5°),FIDAS 200,0.1287,0.0,2808
NW (292.5–337.5°),FIDAS 200,0.1383,0.0,2808
NW (292.5–337.5°),FIDAS 200,0.1486,0.0,2808
NW (292.5–337.5°),FIDAS 200,0.1597,39.74014487866646,2808
NW (292.5–337.5°),FIDAS 200,0.1717,396.1148944989864,2808
NW (292.5–337.5°),FIDAS 200,0.1845,822.9473526257663,2808
NW (292.5–337.5°),FIDAS 200,0.1982,1010.2920272041515,2808
NW (292.5–337.5°),FIDAS 200,0.213,822.356654267615,2808
NW (292.5–337.5°),FIDAS 200,0.2289,701.9282869444155,2808
NW (292.5–337.5°),FIDAS 200,0.246,642.302529367017,2808
NW (292.5–337.5°),FIDAS 200,0.2643,577.7914791723874,2808
NW (292.5–337.5°),FIDAS 200,0.2841,410.31038353443273,2808
NW (292.5–337.5°),FIDAS 200,0.3053,171.95297690237257,2808
NW (292.5–337.5°),FIDAS 200,0.328,64.94577660915874,2808
NW (292.5–337.5°),FIDAS 200,0.3525,31.85381192080618,2808
NW (292.5–337.5°),FIDAS 200,0.3788,17.015145500520642,2808
NW (292.5–337.5°),FIDAS 200,0.4071,12.012181485775093,2808
NW (292.5–337.5°),FIDAS 200,0.4374,9.47132763191333,2808
NW (292.5–337.5°),FIDAS 200,0.4701,8.784898561788594,2808
NW (292.5–337.5°),FIDAS 200,0.5051,7.526795344825338,2808
NW (292.5–337.5°),FIDAS 200,0.5428,5.262784389257284,2808
NW (292.5–337.5°),FIDAS 200,0.5833,4.081420900212604,2808
NW (292.5–337.5°),FIDAS 200,0.6268,3.3094143697417646,2808
NW (292.5–337.5°),FIDAS 200,0.6736,3.087699684550315,2808
NW (292.5–337.5°),FIDAS 200,0.7239,3.0887398029398843,2808
NW (292.5–337.5°),FIDAS 200,0.7779,2.7335205288331315,2808
NW (292.5–337.5°),FIDAS 200,0.8359,2.770820247989889,2808
NW (292.5–337.5°),FIDAS 200,0.8983,2.370768686660078,2808
NW (292.5–337.5°),FIDAS 200,0.9653,2.34699827172877,2808
NW (292.5–337.5°),FIDAS 200,1.0373,2.066692598787388,2808
NW (292.5–337.5°),FIDAS 200,1.1147,1.9774840884131142,2808
NW (292.5–337.5°),FIDAS 200,1.1979,1.814703043434172,2808
NW (292.5–337.5°),FIDAS 200,1.2872,1.7241529869380974,2808
NW (292.5–337.5°),FIDAS 200,1.3833,1.5871022073761016,2808
NW (292.5–337.5°),FIDAS 200,1.4865,1.39289631725907,2808
NW (292.5–337.5°),FIDAS 200,1.5974,1.249341318560809,2808
NW (292.5–337.5°),FIDAS 200,1.7165,1.062507905340333,2808
NW (292.5–337.5°),FIDAS 200,1.8446,0.9126588126476705,2808
NW (292.5–337.5°),FIDAS 200,1.9822,0.7944642524440918,2808
NW (292.5–337.5°),FIDAS 200,2.1301,0.6986011779223128,2808
NW (292.5–337.5°),FIDAS 200,2.2891,0.634967572253088,2808
NW (292.5–337.5°),FIDAS 200,2.4598,0.5610423202775011,2808
NW (292.5–337.5°),FIDAS 200,2.6434,0.5120597522502772,2808
NW (292.5–337.5°),FIDAS 200,2.8406,0.4551541994896867,2808
NW (292.5–337.5°),FIDAS 200,3.0525,0.44877428966421357,2808
NW (292.5–337.5°),FIDAS 200,3.2802,0.39572222693362535,2808
NW (292.5–337.5°),FIDAS 200,3.525,0.36062539742584426,2808
NW (292.5–337.5°),FIDAS 200,3.788,0.3176258451297681,2808
NW (292.5–337.5°),FIDAS 200,4.0706,0.27390705217788613,2808
NW (292.5–337.5°),FIDAS 200,4.3743,0.2522441095088859,2808
NW (292.5–337.5°),FIDAS 200,4.7006,0.2208261157389549,2808
NW (292.5–337.5°),FIDAS 200,5.0513,0.18570417246516308,2808
NW (292.5–337.5°),FIDAS 200,5.4282,0.1625117558788571,2808
NW (292.5–337.5°),FIDAS 200,5.8332,0.14326412444572972,2808
NW (292.5–337.5°),FIDAS 200,6.2684,0.13302463592210328,2808
NW (292.5–337.5°),FIDAS 200,6.7361,0.11263638972571334,2808
NW (292.5–337.5°),FIDAS 200,7.2386,0.09657030858775001,2808
NW (292.5–337.5°),FIDAS 200,7.7787,0.0873078504526394,2808
NW (292.5–337.5°),FIDAS 200,8.359,0.08398604319273359,2808
NW (292.5–337.5°),FIDAS 200,8.9827,0.07173468431595208,2808
NW (292.5–337.5°),FIDAS 200,9.6529,0.061088612597679205,2808
NW (292.5–337.5°),FIDAS 200,10.373,0.05359449800177408,2808
NW (292.5–337.5°),FIDAS 200,11.1469,0.04103524121146075,2808
NW (292.5–337.5°),FIDAS 200,11.9786,0.035768348884169895,2808
NW (292.5–337.5°),FIDAS 200,12.8723,0.030017420287435675,2808
NW (292.5–337.5°),FIDAS 200,13.8327,0.027531650666956356,2808
NW (292.5–337.5°),FIDAS 200,14.8647,0.02580460793191523,2808
NW (292.5–337.5°),FIDAS 200,15.9737,0.021105171885987935,2808
NW (292.5–337.5°),FIDAS 200,17.1655,0.01595243752253758,2808
NW (292.5–337.5°),FIDAS 200,18.4462,0.015040369948530525,2808
NW (292.5–337.5°),FIDAS 200,19.8224,0.015995283294915084,2808
NW (292.5–337.5°),FIDAS 200,21.3013,0.01721784866320665,2808
NW (292.5–337.5°),FIDAS 200,22.8905,0.018445812094951015,2808
NW (292.5–337.5°),FIDAS 200,24.5984,0.02000625144266495,2808
NW (292.5–337.5°),FIDAS 200,26.4336,0.005784011896259522,2808
NW (292.5–337.5°),UCASS 1,0.7765307463326871,0.8776336417036754,8512
NW (292.5–337.5°),UCASS 1,1.7052272575818157,0.17702905947998032,8512
NW (292.5–337.5°),UCASS 1,2.4781242906682466,0.0824449993445997,8512
NW (292.5–337.5°),UCASS 1,3.1246599815019875,0.05450563493103302,8512
NW (292.5–337.5°),UCASS 1,3.668105778191245,0.03807024640261195,8512
NW (292.5–337.5°),UCASS 1,4.161249812255929,0.017211948947838993,8512
NW (292.5–337.5°),UCASS 1,4.678589531044587,0.021211333780619915,8512
NW (292.5–337.5°),UCASS 1,5.145298825141257,0.013471724950474905,8512
NW (292.5–337.5°),UCASS 1,5.604863959098383,0.011043587784315832,8512
NW (292.5–337.5°),UCASS 1,6.061188002363893,0.006575657307397796,8512
NW (292.5–337.5°),UCASS 1,6.520398760812102,0.005736973129352323,8512
NW (292.5–337.5°),UCASS 1,6.971986804347811,0.00769484968479851,8512
NW (292.5–337.5°),UCASS 1,7.420956811624765,0.007806475738529627,8512
NW (292.5–337.5°),UCASS 1,7.891793205602894,0.00120651811270956,8512
NW (292.5–337.5°),UCASS 1,10.85080642164443,0.005730961035370409,8512
NW (292.5–337.5°),UCASS 2,4.069004792329446,0.1759740656096592,8512
NW (292.5–337.5°),UCASS 2,4.496398558846847,0.22923412393135326,8512
NW (292.5–337.5°),UCASS 2,5.417970099585268,0.12152755247502003,8512
NW (292.5–337.5°),UCASS 2,6.685506712284417,0.06822537118781839,8512
NW (292.5–337.5°),UCASS 2,8.268978171455045,0.040665919788207446,8512
NW (292.5–337.5°),UCASS 2,10.772854774849607,0.03032665144247484,8512
NW (292.5–337.5°),UCASS 2,13.835259303677686,0.015026305576938149,8512
NW (292.5–337.5°),UCASS 2,17.414821273846023,0.008473724345395079,8512
NW (292.5–337.5°),UCASS 2,23.11955881932006,0.005835187568237299,8512
NW (292.5–337.5°),UCASS 2,28.16814512885078,0.0031999401815745415,8512
NW (292.5–337.5°),UCASS 2,30.822173836379548,0.0,8512
NW (292.5–337.5°),UCASS 2,33.4058677480469,0.0015579399859173562,8512
NW (292.5–337.5°),UCASS 2,35.530071770262445,0.0,8512
NW (292.5–337.5°),UCASS 2,40.3981039159018,0.0004975888911350341,8512
NW (292.5–337.5°),UCASS 2,48.99905305207439,0.0014927666734051023,8512
NW (292.5–337.5°),UCASS 6,0.6280127387243033,0.8168439005226292,8512
NW (292.5–337.5°),UCASS 6,0.7557777451076474,1.075572656534655,8512
NW (292.5–337.5°),UCASS 6,1.1299557513460428,0.37493333190243283,8512
NW (292.5–337.5°),UCASS 6,1.7951044537853502,0.4549481310448924,8512
NW (292.5–337.5°),UCASS 6,2.23678340480253,0.5379130839003613,8512
NW (292.5–337.5°),UCASS 6,2.579767431378263,0.18890768014613885,8512
NW (292.5–337.5°),UCASS 6,3.316323265304515,0.12773225507138103,8512
NW (292.5–337.5°),UCASS 6,4.263097465458654,0.08141718495463884,8512
NW (292.5–337.5°),UCASS 6,5.296527164095356,0.052908167156207116,8512
NW (292.5–337.5°),UCASS 6,6.755116579304905,0.02325726812881032,8512
NW (292.5–337.5°),UCASS 6,8.618816624107977,0.014208341378504899,8512
NW (292.5–337.5°),UCASS 6,11.067971810589329,0.007569124743447012,8512
NW (292.5–337.5°),UCASS 6,14.265342617687105,0.007035672790632541,8512
NW (292.5–337.5°),UCASS 6,18.743596239782804,0.0015957203548650723,8512
NW (292.5–337.5°),UCASS 6,25.325038993059813,0.0009574322129190432,8512
NW (292.5–337.5°),TSI OPS 3330,0.3349626844888845,73.43161107628802,1128
NW (292.5–337.5°),TSI OPS 3330,0.417025179095939,11.320146431624742,1128
NW (292.5–337.5°),TSI OPS 3330,0.5188785985179963,2.906424188807731,1128
NW (292.5–337.5°),TSI OPS 3330,0.6461106716345119,1.0449926838253718,1128
NW (292.5–337.5°),TSI OPS 3330,0.8041996020889342,0.6150351075911231,1128
NW (292.5–337.5°),TSI OPS 3330,1.0009740256370292,0.9403346152391646,1128
NW (292.5–337.5°),TSI OPS 3330,1.246493882857032,0.581559841716232,1128
NW (292.5–337.5°),TSI OPS 3330,1.5521636511656882,0.7209166700889508,1128
NW (292.5–337.5°),TSI OPS 3330,1.9324057544936053,0.6147140822259612,1128
NW (292.5–337.5°),TSI OPS 3330,2.4060049875260026,0.42005601910248835,1128
NW (292.5–337.5°),TSI OPS 3330,2.9959898197423835,0.2716280067622093,1128
NW (292.5–337.5°),TSI OPS 3330,3.73008927507104,0.19466950525265303,1128
NW (292.5–337.5°),TSI OPS 3330,4.644080533324115,0.13737652380920554,1128
NW (292.5–337.5°),TSI OPS 3330,5.781788823538958,0.10742403520172977,1128
NW (292.5–337.5°),TSI OPS 3330,7.198224225460054,0.059927049339429106,1128
NW (292.5–337.5°),TSI OPS 3330,8.962142600963231,0.06185217490435379,1128
