Wind_Direction_Class,Instrument,Diameter_um,dN_dlnDp,N_Samples
S (157.5–202.5°),FIDAS 200,0.1037,0.0,743
S (157.5–202.5°),FIDAS 200,0.1198,0.0,743
S (157.5–202.5°),FIDAS 200,0.1287,0.0,743
S (157.5–202.5°),FIDAS 200,0.1383,0.0,743
S (157.5–202.5°),FIDAS 200,0.1486,0.0,743
S (157.5–202.5°),FIDAS 200,0.1597,6.120558146539247,743
S (157.5–202.5°),FIDAS 200,0.1717,224.9389330269691,743
S (157.5–202.5°),FIDAS 200,0.1845,829.7448601069618,743
S (157.5–202.5°),FIDAS 200,0.1982,1108.8912309231891,743
S (157.5–202.5°),FIDAS 200,0.213,952.6160880641728,743
S (157.5–202.5°),FIDAS 200,0.2289,866.8447628194408,743
S (157.5–202.5°),FIDAS 200,0.246,864.1438549918036,743
S (157.5–202.5°),FIDAS 200,0.2643,905.7300745252069,743
S (157.5–202.5°),FIDAS 200,0.2841,683.3062109612858,743
S (157.5–202.5°),FIDAS 200,0.3053,282.53976089616054,743
S (157.5–202.5°),FIDAS 200,0.328,128.6851420343676,743
S (157.5–202.5°),FIDAS 200,0.3525,65.48338494133864,743
S (157.5–202.5°),FIDAS 200,0.3788,34.403426365894454,743
S (157.5–202.5°),FIDAS 200,0.4071,24.295627318578557,743
S (157.5–202.5°),FIDAS 200,0.4374,19.415820802640415,743
S (157.5–202.5°),FIDAS 200,0.4701,18.591533212657374,743
S (157.5–202.5°),FIDAS 200,0.5051,15.669126720248887,743
S (157.5–202.5°),FIDAS 200,0.5428,9.393693084857093,743
S (157.5–202.5°),FIDAS 200,0.5833,6.783036245035535,743
S (157.5–202.5°),FIDAS 200,0.6268,5.039688561275744,743
S (157.5–202.5°),FIDAS 200,0.6736,4.588627144700432,743
S (157.5–202.5°),FIDAS 200,0.7239,4.767324447264556,743
S (157.5–202.5°),FIDAS 200,0.7779,4.176276323263096,743
S (157.5–202.5°),FIDAS 200,0.8359,4.1322903290338715,743
S (157.5–202.5°),FIDAS 200,0.8983,3.8030369919634532,743
S (157.5–202.5°),FIDAS 200,0.9653,3.4921739318775904,743
S (157.5–202.5°),FIDAS 200,1.0373,3.239583681849608,743
S (157.5–202.5°),FIDAS 200,1.1147,3.1467108352451025,743
S (157.5–202.5°),FIDAS 200,1.1979,2.8209442774499656,743
S (157.5–202.5°),FIDAS 200,1.2872,2.7278498848505213,743
S (157.5–202.5°),FIDAS 200,1.3833,2.50789386511617,743
S (157.5–202.5°),FIDAS 200,1.4865,2.1197624584803867,743
S (157.5–202.5°),FIDAS 200,1.5974,1.8880348477321047,743
S (157.5–202.5°),FIDAS 200,1.7165,1.5640983225086447,743
S (157.5–202.5°),FIDAS 200,1.8446,1.3064543005770861,743
S (157.5–202.5°),FIDAS 200,1.9822,1.0849706510564376,743
S (157.5–202.5°),FIDAS 200,2.1301,0.9690972531027336,743
S (157.5–202.5°),FIDAS 200,2.2891,0.8142860933322081,743
S (157.5–202.5°),FIDAS 200,2.4598,0.769764961394951,743
S (157.5–202.5°),FIDAS 200,2.6434,0.6741831570390326,743
S (157.5–202.5°),FIDAS 200,2.8406,0.6197252353993624,743
S (157.5–202.5°),FIDAS 200,3.0525,0.5809585664942877,743
S (157.5–202.5°),FIDAS 200,3.2802,0.496465322873012,743
S (157.5–202.5°),FIDAS 200,3.525,0.4503443570710974,743
S (157.5–202.5°),FIDAS 200,3.788,0.3917130816496468,743
S (157.5–202.5°),FIDAS 200,4.0706,0.3233667429201251,743
S (157.5–202.5°),FIDAS 200,4.3743,0.29037221555367376,743
S (157.5–202.5°),FIDAS 200,4.7006,0.2454303615699552,743
S (157.5–202.5°),FIDAS 200,5.0513,0.2127162978504257,743
S (157.5–202.5°),FIDAS 200,5.4282,0.19053276384193793,743
S (157.5–202.5°),FIDAS 200,5.8332,0.14794760084472014,743
S (157.5–202.5°),FIDAS 200,6.2684,0.13757410691596514,743
S (157.5–202.5°),FIDAS 200,6.7361,0.11787378886540965,743
S (157.5–202.5°),FIDAS 200,7.2386,0.11816111125419126,743
S (157.5–202.5°),FIDAS 200,7.7787,0.09648071984709906,743
S (157.5–202.5°),FIDAS 200,8.359,0.08708960706439525,743
S (157.5–202.5°),FIDAS 200,8.9827,0.08276719374048488,743
S (157.5–202.5°),FIDAS 200,9.6529,0.06409498864895137,743
S (157.5–202.5°),FIDAS 200,10.373,0.054142456064772665,743
S (157.5–202.5°),FIDAS 200,11.1469,0.042507166271959745,743
S (157.5–202.5°),FIDAS 200,11.9786,0.04158639236745189,743
S (157.5–202.5°),FIDAS 200,12.8723,0.03910154159838392,743
S (157.5–202.5°),FIDAS 200,13.8327,0.03129004548543018,743
S (157.5–202.5°),FIDAS 200,14.8647,0.0240406633753905,743
S (157.5–202.5°),FIDAS 200,15.9737,0.02077255588017761,743
S (157.5–202.5°),FIDAS 200,17.1655,0.015471407162637858,743
S (157.5–202.5°),FIDAS 200,18.4462,0.014069795244366,743
S (157.5–202.5°),FIDAS 200,19.8224,0.014941958585679427,743
S (157.5–202.5°),FIDAS 200,21.3013,0.016087203751264476,743
S (157.5–202.5°),FIDAS 200,22.8905,0.017231941873319518,743
S (157.5–202.5°),FIDAS 200,24.5984,0.01870072794759544,743
S (157.5–202.5°),FIDAS 200,26.4336,0.005394847414380649,743
S (157.5–202.5°),UCASS 1,0.7765307463326871,2.778095054309646,4906
S (157.5–202.5°),UCASS 1,1.7052272575818157,0.4956399268930611,4906
S (157.5–202.5°),UCASS 1,2.4781242906682466,0.1993305749035951,4906
S (157.5–202.5°),UCASS 1,3.1246599815019875,0.13529541656974917,4906
S (157.5–202.5°),UCASS 1,3.668105778191245,0.10491282749414939,4906
S (157.5–202.5°),UCASS 1,4.161249812255929,0.06294666781842409,4906
S (157.5–202.5°),UCASS 1,4.678589531044587,0.057038981940800246,4906
S (157.5–202.5°),UCASS 1,5.145298825141257,0.04057373771032148,4906
S (157.5–202.5°),UCASS 1,5.604863959098383,0.04434766255882673,4906
S (157.5–202.5°),UCASS 1,6.061188002363893,0.020794586115463063,4906
S (157.5–202.5°),UCASS 1,6.520398760812102,0.016198541101168834,4906
S (157.5–202.5°),UCASS 1,6.971986804347811,0.010428803014506424,4906
S (157.5–202.5°),UCASS 1,7.420956811624765,0.02821357177835704,4906
S (157.5–202.5°),UCASS 1,7.891793205602894,0.0020439872522362884,4906
S (157.5–202.5°),UCASS 1,10.85080642164443,0.012945252597496494,4906
S (157.5–202.5°),UCASS 2,4.069004792329446,0.2736851268004161,4906
S (157.5–202.5°),UCASS 2,4.496398558846847,0.34093371454978005,4906
S (157.5–202.5°),UCASS 2,5.417970099585268,0.1785345574519366,4906
S (157.5–202.5°),UCASS 2,6.685506712284417,0.11940922923261986,4906
S (157.5–202.5°),UCASS 2,8.268978171455045,0.06151158443040709,4906
S (157.5–202.5°),UCASS 2,10.772854774849607,0.05809720569279992,4906
S (157.5–202.5°),UCASS 2,13.835259303677686,0.018856573783087853,4906
S (157.5–202.5°),UCASS 2,17.414821273846023,0.016843800061769644,4906
S (157.5–202.5°),UCASS 2,23.11955881932006,0.014279072556638133,4906
S (157.5–202.5°),UCASS 2,28.16814512885078,0.009637483996535058,4906
S (157.5–202.5°),UCASS 2,30.822173836379548,0.005390152203109415,4906
S (157.5–202.5°),UCASS 2,33.4058677480469,0.0,4906
S (157.5–202.5°),UCASS 2,35.530071770262445,0.0,4906
S (157.5–202.5°),UCASS 2,40.3981039159018,0.0,4906
S (157.5–202.5°),UCASS 2,48.99905305207439,0.0011239674891690957,4906
S (157.5–202.5°),UCASS 6,0.6280127387243033,1.5381769953379791,4906
S (157.5–202.5°),UCASS 6,0.7557777451076474,2.424678383189123,4906
S (157.5–202.5°),UCASS 6,1.1299557513460428,0.713335149892956,4906
S (157.5–202.5°),UCASS 6,1.7951044537853502,0.788982238847413,4906
S (157.5–202.5°),UCASS 6,2.23678340480253,0.9124302023849141,4906
S (157.5–202.5°),UCASS 6,2.579767431378263,0.3092350878139586,4906
S (157.5–202.5°),UCASS 6,3.316323265304515,0.2159619274392101,4906
S (157.5–202.5°),UCASS 6,4.263097465458654,0.14392751425246747,4906
S (157.5–202.5°),UCASS 6,5.296527164095356,0.0820519334996807,4906
S (157.5–202.5°),UCASS 6,6.755116579304905,0.040958834796603796,4906
S (157.5–202.5°),UCASS 6,8.618816624107977,0.028624550294320712,4906
S (157.5–202.5°),UCASS 6,11.067971810589329,0.0179522147678547,4906
S (157.5–202.5°),UCASS 6,14.265342617687105,0.008740804290637012,4906
S (157.5–202.5°),UCASS 6,18.743596239782804,0.0028835656625412704,4906
S (157.5–202.5°),UCASS 6,25.325038993059813,0.005046239909447223,4906
S (157.5–202.5°),TSI OPS 3330,0.3349626844888845,104.44835297648288,300
S (157.5–202.5°),TSI OPS 3330,0.417025179095939,16.419403658748255,300
S (157.5–202.5°),TSI OPS 3330,0.5188785985179963,4.813248644758478,300
S (157.5–202.5°),TSI OPS 3330,0.6461106716345119,1.9628766379272797,300
S (157.5–202.5°),TSI OPS 3330,0.8041996020889342,1.1742831973062215,300
S (157.5–202.5°),TSI OPS 3330,1.0009740256370292,1.4785501982286884,300
S (157.5–202.5°),TSI OPS 3330,1.246493882857032,0.9247275237597089,300
S (157.5–202.5°),TSI OPS 3330,1.5521636511656882,1.2720462916867625,300
S (157.5–202.5°),TSI OPS 3330,1.9324057544936053,0.9796938469520161,300
S (157.5–202.5°),TSI OPS 3330,2.4060049875260026,0.5601836733443004,300
S (157.5–202.5°),TSI OPS 3330,2.9959898197423835,0.34750469793497096,300
S (157.5–202.5°),TSI OPS 3330,3.73008927507104,0.2572606760936871,300
S (157.5–202.5°),TSI OPS 3330,4.644080533324115,0.18074412841809973,300
S (157.5–202.5°),TSI OPS 3330,5.781788823538958,0.12760179160859472,300
S (157.5–202.5°),TSI OPS 3330,7.198224225460054,0.0714114775936066,300
S (157.5–202.5°),TSI OPS 3330,8.962142600963231,0.07070889532608783,300
