Wind_Direction_Class,Instrument,Diameter_um,dN_dlnDp,N_Samples
SE (112.5–157.5°),FIDAS 200,0.1037,0.0,734
SE (112.5–157.5°),FIDAS 200,0.1198,0.0,734
SE (112.5–157.5°),FIDAS 200,0.1287,0.0,734
SE (112.5–157.5°),FIDAS 200,0.1383,0.0,734
SE (112.5–157.5°),FIDAS 200,0.1486,0.0,734
SE (112.5–157.5°),FIDAS 200,0.1597,6.456703934836428,734
SE (112.5–157.5°),FIDAS 200,0.1717,220.62368518352548,734
SE (112.5–157.5°),FIDAS 200,0.1845,829.4797495428576,734
SE (112.5–157.5°),FIDAS 200,0.1982,1129.9518163959765,734
SE (112.5–157.5°),FIDAS 200,0.213,990.4938061281589,734
SE (112.5–157.5°),FIDAS 200,0.2289,928.4608626192553,734
SE (112.5–157.5°),FIDAS 200,0.246,951.3274707272994,734
SE (112.5–157.5°),FIDAS 200,0.2643,1033.131496732247,734
SE (112.5–157.5°),FIDAS 200,0.2841,749.5642820267059,734
SE (112.5–157.5°),FIDAS 200,0.3053,313.7824837109702,734
SE (112.5–157.5°),FIDAS 200,0.328,156.40895376069042,734
SE (112.5–157.5°),FIDAS 200,0.3525,81.31371330938667,734
SE (112.5–157.5°),FIDAS 200,0.3788,44.26158936344627,734
SE (112.5–157.5°),FIDAS 200,0.4071,32.2143480358014,734
SE (112.5–157.5°),FIDAS 200,0.4374,26.018547689195028,734
SE (112.5–157.5°),FIDAS 200,0.4701,24.983446775532972,734
SE (112.5–157.5°),FIDAS 200,0.5051,21.07190440596405,734
SE (112.5–157.5°),FIDAS 200,0.5428,12.262211818424454,734
SE (112.5–157.5°),FIDAS 200,0.5833,8.479377231429021,734
SE (112.5–157.5°),FIDAS 200,0.6268,6.226238235550752,734
SE (112.5–157.5°),FIDAS 200,0.6736,5.375148432892246,734
SE (112.5–157.5°),FIDAS 200,0.7239,5.404181681716591,734
SE (112.5–157.5°),FIDAS 200,0.7779,4.903171969271415,734
SE (112.5–157.5°),FIDAS 200,0.8359,4.734103705241066,734
SE (112.5–157.5°),FIDAS 200,0.8983,4.160564292168727,734
SE (112.5–157.5°),FIDAS 200,0.9653,3.959703565878958,734
SE (112.5–157.5°),FIDAS 200,1.0373,3.653361533605423,734
SE (112.5–157.5°),FIDAS 200,1.1147,3.524145797448164,734
SE (112.5–157.5°),FIDAS 200,1.1979,3.1756495279965016,734
SE (112.5–157.5°),FIDAS 200,1.2872,3.0239931301021277,734
SE (112.5–157.5°),FIDAS 200,1.3833,2.7964179579260686,734
SE (112.5–157.5°),FIDAS 200,1.4865,2.4462079199221725,734
SE (112.5–157.5°),FIDAS 200,1.5974,2.212825864226247,734
SE (112.5–157.5°),FIDAS 200,1.7165,1.7293985448385527,734
SE (112.5–157.5°),FIDAS 200,1.8446,1.4092775282069054,734
SE (112.5–157.5°),FIDAS 200,1.9822,1.2137780990365936,734
SE (112.5–157.5°),FIDAS 200,2.1301,1.053175500676112,734
SE (112.5–157.5°),FIDAS 200,2.2891,0.8879862518359537,734
SE (112.5–157.5°),FIDAS 200,2.4598,0.8192567052023609,734
SE (112.5–157.5°),FIDAS 200,2.6434,0.7112928867582821,734
SE (112.5–157.5°),FIDAS 200,2.8406,0.6497622873817875,734
SE (112.5–157.5°),FIDAS 200,3.0525,0.583195758383489,734
SE (112.5–157.5°),FIDAS 200,3.2802,0.5429829760201339,734
SE (112.5–157.5°),FIDAS 200,3.525,0.4503529598684567,734
SE (112.5–157.5°),FIDAS 200,3.788,0.41410260756110645,734
SE (112.5–157.5°),FIDAS 200,4.0706,0.3198872871199789,734
SE (112.5–157.5°),FIDAS 200,4.3743,0.27430597812158924,734
SE (112.5–157.5°),FIDAS 200,4.7006,0.24478275733231378,734
SE (112.5–157.5°),FIDAS 200,5.0513,0.22789671383533874,734
SE (112.5–157.5°),FIDAS 200,5.4282,0.18350953067990475,734
SE (112.5–157.5°),FIDAS 200,5.8332,0.15703989629766035,734
SE (112.5–157.5°),FIDAS 200,6.2684,0.1310682494431855,734
SE (112.5–157.5°),FIDAS 200,6.7361,0.12531248098679756,734
SE (112.5–157.5°),FIDAS 200,7.2386,0.11140340406086158,734
SE (112.5–157.5°),FIDAS 200,7.7787,0.08314126271128951,734
SE (112.5–157.5°),FIDAS 200,8.359,0.07655777580352321,734
SE (112.5–157.5°),FIDAS 200,8.9827,0.06388747748492486,734
SE (112.5–157.5°),FIDAS 200,9.6529,0.061062094859764805,734
SE (112.5–157.5°),FIDAS 200,10.373,0.05041786386261293,734
SE (112.5–157.5°),FIDAS 200,11.1469,0.043174334523215355,734
SE (112.5–157.5°),FIDAS 200,11.9786,0.04665374030264335,734
SE (112.5–157.5°),FIDAS 200,12.8723,0.03284547182317986,734
SE (112.5–157.5°),FIDAS 200,13.8327,0.026697548846472324,734
SE (112.5–157.5°),FIDAS 200,14.8647,0.024591052594276294,734
SE (112.5–157.5°),FIDAS 200,15.9737,0.02163400432055331,734
SE (112.5–157.5°),FIDAS 200,17.1655,0.017933769130969626,734
SE (112.5–157.5°),FIDAS 200,18.4462,0.015843399215678827,734
SE (112.5–157.5°),FIDAS 200,19.8224,0.01683214936436975,734
SE (112.5–157.5°),FIDAS 200,21.3013,0.018118095012436986,734
SE (112.5–157.5°),FIDAS 200,22.8905,0.019411028327165743,734
SE (112.5–157.5°),FIDAS 200,24.5984,0.021060377434231416,734
SE (112.5–157.5°),FIDAS 200,26.4336,0.0060791553240470255,734
SE (112.5–157.5°),UCASS 1,0.7765307463326871,3.020496030079252,5889
SE (112.5–157.5°),UCASS 1,1.7052272575818157,0.44781948557304146,5889
SE (112.5–157.5°),UCASS 1,2.4781242906682466,0.15775300952291463,5889
SE (112.5–157.5°),UCASS 1,3.1246599815019875,0.08934665211959822,5889
SE (112.5–157.5°),UCASS 1,3.668105778191245,0.05678896594505098,5889
SE (112.5–157.5°),UCASS 1,4.161249812255929,0.04021753458914678,5889
SE (112.5–157.5°),UCASS 1,4.678589531044587,0.025772509978179106,5889
SE (112.5–157.5°),UCASS 1,5.145298825141257,0.028645077027008654,5889
SE (112.5–157.5°),UCASS 1,5.604863959098383,0.01204210371662899,5889
SE (112.5–157.5°),UCASS 1,6.061188002363893,0.007743817385705431,5889
SE (112.5–157.5°),UCASS 1,6.520398760812102,0.01970541316790744,5889
SE (112.5–157.5°),UCASS 1,6.971986804347811,0.01812366672530062,5889
SE (112.5–157.5°),UCASS 1,7.420956811624765,0.015322149487398849,5889
SE (112.5–157.5°),UCASS 1,7.891793205602894,0.0005920229403567002,5889
SE (112.5–157.5°),UCASS 1,10.85080642164443,0.010064389986063902,5889
SE (112.5–157.5°),UCASS 2,4.069004792329446,0.286883682453977,5889
SE (112.5–157.5°),UCASS 2,4.496398558846847,0.266924147374392,5889
SE (112.5–157.5°),UCASS 2,5.417970099585268,0.14706239812482189,5889
SE (112.5–157.5°),UCASS 2,6.685506712284417,0.07803982967219945,5889
SE (112.5–157.5°),UCASS 2,8.268978171455045,0.0363452310394398,5889
SE (112.5–157.5°),UCASS 2,10.772854774849607,0.039933549925756325,5889
SE (112.5–157.5°),UCASS 2,13.835259303677686,0.009830953514521812,5889
SE (112.5–157.5°),UCASS 2,17.414821273846023,0.00864853120045651,5889
SE (112.5–157.5°),UCASS 2,23.11955881932006,0.009544171958658119,5889
SE (112.5–157.5°),UCASS 2,28.16814512885078,0.004187118784884977,5889
SE (112.5–157.5°),UCASS 2,30.822173836379548,0.0,5889
SE (112.5–157.5°),UCASS 2,33.4058677480469,0.0,5889
SE (112.5–157.5°),UCASS 2,35.530071770262445,0.0,5889
SE (112.5–157.5°),UCASS 2,40.3981039159018,0.0009766419096917673,5889
SE (112.5–157.5°),UCASS 2,48.99905305207439,0.003906567638767069,5889
SE (112.5–157.5°),UCASS 6,0.6280127387243033,1.6724793204098913,5889
SE (112.5–157.5°),UCASS 6,0.7557777451076474,2.482767346332441,5889
SE (112.5–157.5°),UCASS 6,1.1299557513460428,0.658929720997358,5889
SE (112.5–157.5°),UCASS 6,1.7951044537853502,0.7112740094191737,5889
SE (112.5–157.5°),UCASS 6,2.23678340480253,0.8139743537740465,5889
SE (112.5–157.5°),UCASS 6,2.579767431378263,0.29647251823174864,5889
SE (112.5–157.5°),UCASS 6,3.316323265304515,0.1681383618793259,5889
SE (112.5–157.5°),UCASS 6,4.263097465458654,0.11898261435978247,5889
SE (112.5–157.5°),UCASS 6,5.296527164095356,0.06897196609847357,5889
SE (112.5–157.5°),UCASS 6,6.755116579304905,0.03713749500065674,5889
SE (112.5–157.5°),UCASS 6,8.618816624107977,0.023365120964421122,5889
SE (112.5–157.5°),UCASS 6,11.067971810589329,0.008913773489524136,5889
SE (112.5–157.5°),UCASS 6,14.265342617687105,0.004142777119402199,5889
SE (112.5–157.5°),UCASS 6,18.743596239782804,0.002505598340275683,5889
SE (112.5–157.5°),UCASS 6,25.325038993059813,0.0012527991701378415,5889
SE (112.5–157.5°),TSI OPS 3330,0.3349626844888845,116.5111006061042,406
SE (112.5–157.5°),TSI OPS 3330,0.417025179095939,19.03689881292149,406
SE (112.5–157.5°),TSI OPS 3330,0.5188785985179963,5.4731386457942115,406
SE (112.5–157.5°),TSI OPS 3330,0.6461106716345119,2.0864742882995824,406
SE (112.5–157.5°),TSI OPS 3330,0.8041996020889342,1.2361940397428082,406
SE (112.5–157.5°),TSI OPS 3330,1.0009740256370292,1.6007635302438032,406
SE (112.5–157.5°),TSI OPS 3330,1.246493882857032,0.9892271195695255,406
SE (112.5–157.5°),TSI OPS 3330,1.5521636511656882,1.357091241605996,406
SE (112.5–157.5°),TSI OPS 3330,1.9324057544936053,1.040382578626102,406
SE (112.5–157.5°),TSI OPS 3330,2.4060049875260026,0.6114935343573373,406
SE (112.5–157.5°),TSI OPS 3330,2.9959898197423835,0.37336021362315114,406
SE (112.5–157.5°),TSI OPS 3330,3.73008927507104,0.2707903785305766,406
SE (112.5–157.5°),TSI OPS 3330,4.644080533324115,0.18471210262096313,406
SE (112.5–157.5°),TSI OPS 3330,5.781788823538958,0.13401406659648446,406
