Wind_Direction_Class,Instrument,Diameter_um,dN_dlnDp,N_Samples
SW (202.5–247.5°),FIDAS 200,0.1037,0.0,1460
SW (202.5–247.5°),FIDAS 200,0.1198,0.0,1460
SW (202.5–247.5°),FIDAS 200,0.1287,0.0,1460
SW (202.5–247.5°),FIDAS 200,0.1383,0.0,1460
SW (202.5–247.5°),FIDAS 200,0.1486,0.0,1460
SW (202.5–247.5°),FIDAS 200,0.1597,15.610742252689821,1460
SW (202.5–247.5°),FIDAS 200,0.1717,269.352872408768,1460
SW (202.5–247.5°),FIDAS 200,0.1845,813.3714867830907,1460
SW (202.5–247.5°),FIDAS 200,0.1982,1050.0453374778451,1460
SW (202.5–247.5°),FIDAS 200,0.213,879.534753261273,1460
SW (202.5–247.5°),FIDAS 200,0.2289,777.1558090515932,1460
SW (202.5–247.5°),FIDAS 200,0.246,741.043290480125,1460
SW (202.5–247.5°),FIDAS 200,0.2643,710.0683424880024,1460
SW (202.5–247.5°),FIDAS 200,0.2841,536.359888487396,1460
SW (202.5–247.5°),FIDAS 200,0.3053,214.61386903493815,1460
SW (202.5–247.5°),FIDAS 200,0.328,89.66866314182644,1460
SW (202.5–247.5°),FIDAS 200,0.3525,45.10602369826919,1460
SW (202.5–247.5°),FIDAS 200,0.3788,23.69055937418232,1460
SW (202.5–247.5°),FIDAS 200,0.4071,16.73799890292672,1460
SW (202.5–247.5°),FIDAS 200,0.4374,13.355566957945415,1460
SW (202.5–247.5°),FIDAS 200,0.4701,12.280883597962063,1460
SW (202.5–247.5°),FIDAS 200,0.5051,10.931873607313555,1460
SW (202.5–247.5°),FIDAS 200,0.5428,7.078523734617706,1460
SW (202.5–247.5°),FIDAS 200,0.5833,5.386995157970885,1460
SW (202.5–247.5°),FIDAS 200,0.6268,4.204128250410137,1460
SW (202.5–247.5°),FIDAS 200,0.6736,3.7982320007593433,1460
SW (202.5–247.5°),FIDAS 200,0.7239,3.92041847833441,1460
SW (202.5–247.5°),FIDAS 200,0.7779,3.555418515553333,1460
SW (202.5–247.5°),FIDAS 200,0.8359,3.4917383183760378,1460
SW (202.5–247.5°),FIDAS 200,0.8983,3.169862008745994,1460
SW (202.5–247.5°),FIDAS 200,0.9653,3.0108890276746094,1460
SW (202.5–247.5°),FIDAS 200,1.0373,2.680462210207032,1460
SW (202.5–247.5°),FIDAS 200,1.1147,2.5880827850436785,1460
SW (202.5–247.5°),FIDAS 200,1.1979,2.371559550180852,1460
SW (202.5–247.5°),FIDAS 200,1.2872,2.1866904579373734,1460
SW (202.5–247.5°),FIDAS 200,1.3833,2.0495066583809205,1460
SW (202.5–247.5°),FIDAS 200,1.4865,1.7487754509673101,1460
SW (202.5–247.5°),FIDAS 200,1.5974,1.6168182451655027,1460
SW (202.5–247.5°),FIDAS 200,1.7165,1.3387358223698809,1460
SW (202.5–247.5°),FIDAS 200,1.8446,1.1243340648825644,1460
SW (202.5–247.5°),FIDAS 200,1.9822,0.9683468143742475,1460
SW (202.5–247.5°),FIDAS 200,2.1301,0.8665025092491527,1460
SW (202.5–247.5°),FIDAS 200,2.2891,0.7303407638976901,1460
SW (202.5–247.5°),FIDAS 200,2.4598,0.6991396816017527,1460
SW (202.5–247.5°),FIDAS 200,2.6434,0.6180167377717286,1460
SW (202.5–247.5°),FIDAS 200,2.8406,0.5621300925669975,1460
SW (202.5–247.5°),FIDAS 200,3.0525,0.5100465792474883,1460
SW (202.5–247.5°),FIDAS 200,3.2802,0.4556135655845217,1460
SW (202.5–247.5°),FIDAS 200,3.525,0.4323598366977702,1460
SW (202.5–247.5°),FIDAS 200,3.788,0.36922264994895176,1460
SW (202.5–247.5°),FIDAS 200,4.0706,0.3051623727480278,1460
SW (202.5–247.5°),FIDAS 200,4.3743,0.2840606394797963,1460
SW (202.5–247.5°),FIDAS 200,4.7006,0.2482652083218756,1460
SW (202.5–247.5°),FIDAS 200,5.0513,0.20695516213188536,1460
SW (202.5–247.5°),FIDAS 200,5.4282,0.18086545155823716,1460
SW (202.5–247.5°),FIDAS 200,5.8332,0.168442229615867,1460
SW (202.5–247.5°),FIDAS 200,6.2684,0.1437617643452445,1460
SW (202.5–247.5°),FIDAS 200,6.7361,0.12158328092120757,1460
SW (202.5–247.5°),FIDAS 200,7.2386,0.10181375837112962,1460
SW (202.5–247.5°),FIDAS 200,7.7787,0.10049793017488155,1460
SW (202.5–247.5°),FIDAS 200,8.359,0.08710535485618079,1460
SW (202.5–247.5°),FIDAS 200,8.9827,0.07571633237741052,1460
SW (202.5–247.5°),FIDAS 200,9.6529,0.06750355339485914,1460
SW (202.5–247.5°),FIDAS 200,10.373,0.053882868947642944,1460
SW (202.5–247.5°),FIDAS 200,11.1469,0.04681142409202904,1460
SW (202.5–247.5°),FIDAS 200,11.9786,0.04079018067814013,1460
SW (202.5–247.5°),FIDAS 200,12.8723,0.033560901272522405,1460
SW (202.5–247.5°),FIDAS 200,13.8327,0.02573047553750717,1460
SW (202.5–247.5°),FIDAS 200,14.8647,0.024206438272070033,1460
SW (202.5–247.5°),FIDAS 200,15.9737,0.020033295792926446,1460
SW (202.5–247.5°),FIDAS 200,17.1655,0.016197334959332413,1460
SW (202.5–247.5°),FIDAS 200,18.4462,0.015594516017879421,1460
SW (202.5–247.5°),FIDAS 200,19.8224,0.016611348637551038,1460
SW (202.5–247.5°),FIDAS 200,21.3013,0.017872781706223827,1460
SW (202.5–247.5°),FIDAS 200,22.8905,0.019153652000703743,1460
SW (202.5–247.5°),FIDAS 200,24.5984,0.02075194146625326,1460
SW (202.5–247.5°),FIDAS 200,26.4336,0.006006146449300155,1460
SW (202.5–247.5°),UCASS 1,0.7765307463326871,2.196266436267517,4114
SW (202.5–247.5°),UCASS 1,1.7052272575818157,0.38923328395253737,4114
SW (202.5–247.5°),UCASS 1,2.4781242906682466,0.14767498747103802,4114
SW (202.5–247.5°),UCASS 1,3.1246599815019875,0.08768706218107675,4114
SW (202.5–247.5°),UCASS 1,3.668105778191245,0.07754313215482521,4114
SW (202.5–247.5°),UCASS 1,4.161249812255929,0.04434425402469115,4114
SW (202.5–247.5°),UCASS 1,4.678589531044587,0.048218935657508316,4114
SW (202.5–247.5°),UCASS 1,5.145298825141257,0.03572889944205809,4114
SW (202.5–247.5°),UCASS 1,5.604863959098383,0.03124174927865359,4114
SW (202.5–247.5°),UCASS 1,6.061188002363893,0.020927475841302848,4114
SW (202.5–247.5°),UCASS 1,6.520398760812102,0.02282288312676611,4114
SW (202.5–247.5°),UCASS 1,6.971986804347811,0.02448938157101195,4114
SW (202.5–247.5°),UCASS 1,7.420956811624765,0.0,4114
SW (202.5–247.5°),UCASS 1,7.891793205602894,0.0,4114
SW (202.5–247.5°),UCASS 1,10.85080642164443,0.01727921615127026,4114
SW (202.5–247.5°),UCASS 2,4.069004792329446,0.29073603341141496,4114
SW (202.5–247.5°),UCASS 2,4.496398558846847,0.3082157185041143,4114
SW (202.5–247.5°),UCASS 2,5.417970099585268,0.18175267245326843,4114
