Wind_Direction_Class,Instrument,Diameter_um,dN_dlnDp,N_Samples
W (247.5–292.5°),FIDAS 200,0.1037,0.0,8714
W (247.5–292.5°),FIDAS 200,0.1198,0.0,8714
W (247.5–292.5°),FIDAS 200,0.1287,0.0,8714
W (247.5–292.5°),FIDAS 200,0.1383,0.0,8714
W (247.5–292.5°),FIDAS 200,0.1486,0.0,8714
W (247.5–292.5°),FIDAS 200,0.1597,47.79756786826026,8714
W (247.5–292.5°),FIDAS 200,0.1717,456.2778815335795,8714
W (247.5–292.5°),FIDAS 200,0.1845,844.5949213484874,8714
W (247.5–292.5°),FIDAS 200,0.1982,1018.9849843769183,8714
W (247.5–292.5°),FIDAS 200,0.213,821.3792165080536,8714
W (247.5–292.5°),FIDAS 200,0.2289,696.5160769330719,8714
W (247.5–292.5°),FIDAS 200,0.246,632.0098989532983,8714
W (247.5–292.5°),FIDAS 200,0.2643,572.9147505570768,8714
W (247.5–292.5°),FIDAS 200,0.2841,385.8387309134795,8714
W (247.5–292.5°),FIDAS 200,0.3053,154.9793510615643,8714
W (247.5–292.5°),FIDAS 200,0.328,60.99005862450371,8714
W (247.5–292.5°),FIDAS 200,0.3525,29.987164273404566,8714
W (247.5–292.5°),FIDAS 200,0.3788,16.152078301871857,8714
W (247.5–292.5°),FIDAS 200,0.4071,11.490416099223488,8714
W (247.5–292.5°),FIDAS 200,0.4374,9.31205038649784,8714
W (247.5–292.5°),FIDAS 200,0.4701,8.63098029285407,8714
W (247.5–292.5°),FIDAS 200,0.5051,7.3456728667981634,8714
W (247.5–292.5°),FIDAS 200,0.5428,5.1555696373994975,8714
W (247.5–292.5°),FIDAS 200,0.5833,4.017239755371679,8714
W (247.5–292.5°),FIDAS 200,0.6268,3.2962584972269253,8714
W (247.5–292.5°),FIDAS 200,0.6736,3.0783985803360037,8714
W (247.5–292.5°),FIDAS 200,0.7239,3.1100328722112396,8714
W (247.5–292.5°),FIDAS 200,0.7779,2.7337476041758197,8714
W (247.5–292.5°),FIDAS 200,0.8359,2.7616671520189175,8714
W (247.5–292.5°),FIDAS 200,0.8983,2.3589986479197833,8714
W (247.5–292.5°),FIDAS 200,0.9653,2.3621804767311967,8714
W (247.5–292.5°),FIDAS 200,1.0373,2.0554260305770726,8714
W (247.5–292.5°),FIDAS 200,1.1147,1.9756067089339657,8714
W (247.5–292.5°),FIDAS 200,1.1979,1.8061284138547564,8714
W (247.5–292.5°),FIDAS 200,1.2872,1.6842812016544895,8714
W (247.5–292.5°),FIDAS 200,1.3833,1.5633950467553304,8714
W (247.5–292.5°),FIDAS 200,1.4865,1.3629289065872696,8714
W (247.5–292.5°),FIDAS 200,1.5974,1.2418643866679862,8714
W (247.5–292.5°),FIDAS 200,1.7165,1.0410202831003141,8714
W (247.5–292.5°),FIDAS 200,1.8446,0.8879277285166028,8714
W (247.5–292.5°),FIDAS 200,1.9822,0.7547205333923522,8714
W (247.5–292.5°),FIDAS 200,2.1301,0.676759540238335,8714
W (247.5–292.5°),FIDAS 200,2.2891,0.5881485440971775,8714
W (247.5–292.5°),FIDAS 200,2.4598,0.5413831192561636,8714
W (247.5–292.5°),FIDAS 200,2.6434,0.48583427921205763,8714
W (247.5–292.5°),FIDAS 200,2.8406,0.4365458562268772,8714
W (247.5–292.5°),FIDAS 200,3.0525,0.4120241289125869,8714
W (247.5–292.5°),FIDAS 200,3.2802,0.37867460981398315,8714
W (247.5–292.5°),FIDAS 200,3.525,0.33301858628991404,8714
W (247.5–292.5°),FIDAS 200,3.788,0.29254324558605355,8714
W (247.5–292.5°),FIDAS 200,4.0706,0.24751526770551321,8714
W (247.5–292.5°),FIDAS 200,4.3743,0.22554700254986929,8714
W (247.5–292.5°),FIDAS 200,4.7006,0.19722830379843026,8714
W (247.5–292.5°),FIDAS 200,5.0513,0.17185922580082633,8714
W (247.5–292.5°),FIDAS 200,5.4282,0.14477224251606358,8714
W (247.5–292.5°),FIDAS 200,5.8332,0.12536994396295165,8714
W (247.5–292.5°),FIDAS 200,6.2684,0.1158946379278042,8714
W (247.5–292.5°),FIDAS 200,6.7361,0.09908433195433071,8714
W (247.5–292.5°),FIDAS 200,7.2386,0.0892740824178655,8714
W (247.5–292.5°),FIDAS 200,7.7787,0.07911713970366334,8714
W (247.5–292.5°),FIDAS 200,8.359,0.06999875575174638,8714
W (247.5–292.5°),FIDAS 200,8.9827,0.058369625993154275,8714
W (247.5–292.5°),FIDAS 200,9.6529,0.053536339299872455,8714
W (247.5–292.5°),FIDAS 200,10.373,0.043151016135217136,8714
W (247.5–292.5°),FIDAS 200,11.1469,0.034955193730686125,8714
W (247.5–292.5°),FIDAS 200,11.9786,0.030669304272630333,8714
W (247.5–292.5°),FIDAS 200,12.8723,0.02690599365768623,8714
W (247.5–292.5°),FIDAS 200,13.8327,0.02474239802969042,8714
W (247.5–292.5°),FIDAS 200,14.8647,0.019330576493798362,8714
W (247.5–292.5°),FIDAS 200,15.9737,0.01648087216401508,8714
W (247.5–292.5°),FIDAS 200,17.1655,0.012875560669082605,8714
W (247.5–292.5°),FIDAS 200,18.4462,0.011764376024764909,8714
W (247.5–292.5°),FIDAS 200,19.8224,0.012502711718941234,8714
W (247.5–292.5°),FIDAS 200,21.3013,0.01345850515668869,8714
W (247.5–292.5°),FIDAS 200,22.8905,0.014419296055943834,8714
W (247.5–292.5°),FIDAS 200,24.5984,0.01564272466218854,8714
W (247.5–292.5°),FIDAS 200,26.4336,0.004518232725703723,8714
W (247.5–292.5°),UCASS 1,0.7765307463326871,1.018392165437548,8185
W (247.5–292.5°),UCASS 1,1.7052272575818157,0.1983175967868634,8185
W (247.5–292.5°),UCASS 1,2.4781242906682466,0.09950626390429677,8185
W (247.5–292.5°),UCASS 1,3.1246599815019875,0.05688997729483234,8185
W (247.5–292.5°),UCASS 1,3.668105778191245,0.034912541974545415,8185
W (247.5–292.5°),UCASS 1,4.161249812255929,0.03489730254553684,8185
W (247.5–292.5°),UCASS 1,4.678589531044587,0.022054396392785607,8185
W (247.5–292.5°),UCASS 1,5.145298825141257,0.013481901304712895,8185
W (247.5–292.5°),UCASS 1,5.604863959098383,0.016075534483498723,8185
W (247.5–292.5°),UCASS 1,6.061188002363893,0.011486180889171138,8185
W (247.5–292.5°),UCASS 1,6.520398760812102,0.010960676540499656,8185
W (247.5–292.5°),UCASS 1,6.971986804347811,0.006720577978960543,8185
W (247.5–292.5°),UCASS 1,7.420956811624765,0.00681807066943709,8185
W (247.5–292.5°),UCASS 1,7.891793205602894,0.0016464947724043053,8185
W (247.5–292.5°),UCASS 1,10.85080642164443,0.005598082226174637,8185
W (247.5–292.5°),UCASS 2,4.069004792329446,0.17846908480721715,8185
W (247.5–292.5°),UCASS 2,4.496398558846847,0.2002099934925116,8185
W (247.5–292.5°),UCASS 2,5.417970099585268,0.11471955347254761,8185
W (247.5–292.5°),UCASS 2,6.685506712284417,0.0670848364512876,8185
W (247.5–292.5°),UCASS 2,8.268978171455045,0.038846791066525915,8185
W (247.5–292.5°),UCASS 2,10.772854774849607,0.032270417988061226,8185
W (247.5–292.5°),UCASS 2,13.835259303677686,0.018683148661602787,8185
W (247.5–292.5°),UCASS 2,17.414821273846023,0.0077708784377354565,8185
W (247.5–292.5°),UCASS 2,23.11955881932006,0.005308723080017892,8185
W (247.5–292.5°),UCASS 2,28.16814512885078,0.0023289871796505824,8185
W (247.5–292.5°),UCASS 2,30.822173836379548,0.002605160305723057,8185
W (247.5–292.5°),UCASS 2,33.4058677480469,0.0,8185
W (247.5–292.5°),UCASS 2,35.530071770262445,0.0,8185
W (247.5–292.5°),UCASS 2,40.3981039159018,0.0010864685735654726,8185
W (247.5–292.5°),UCASS 2,48.99905305207439,0.0032594057206964174,8185
W (247.5–292.5°),UCASS 6,0.6280127387243033,0.7819314622216473,8185
W (247.5–292.5°),UCASS 6,0.7557777451076474,1.1948344212382382,8185
W (247.5–292.5°),UCASS 6,1.1299557513460428,0.376934351120026,8185
W (247.5–292.5°),UCASS 6,1.7951044537853502,0.444249119519814,8185
W (247.5–292.5°),UCASS 6,2.23678340480253,0.4725990003123182,8185
W (247.5–292.5°),UCASS 6,2.579767431378263,0.21124657666078742,8185
W (247.5–292.5°),UCASS 6,3.316323265304515,0.11940888497213861,8185
W (247.5–292.5°),UCASS 6,4.263097465458654,0.09081814053586076,8185
W (247.5–292.5°),UCASS 6,5.296527164095356,0.045692011870188017,8185
W (247.5–292.5°),UCASS 6,6.755116579304905,0.025821081925444807,8185
W (247.5–292.5°),UCASS 6,8.618816624107977,0.015930952870113316,8185
W (247.5–292.5°),UCASS 6,11.067971810589329,0.008676637607014336,8185
W (247.5–292.5°),UCASS 6,14.265342617687105,0.005760807905705582,8185
W (247.5–292.5°),UCASS 6,18.743596239782804,0.0010452604842955539,8185
W (247.5–292.5°),UCASS 6,25.325038993059813,0.0013936806457274051,8185
W (247.5–292.5°),TSI OPS 3330,0.3349626844888845,74.46345569995206,1210
W (247.5–292.5°),TSI OPS 3330,0.417025179095939,11.526564846231702,1210
W (247.5–292.5°),TSI OPS 3330,0.5188785985179963,3.1152635833956297,1210
W (247.5–292.5°),TSI OPS 3330,0.6461106716345119,1.1245131032736078,1210
W (247.5–292.5°),TSI OPS 3330,0.8041996020889342,0.6658266308955867,1210
W (247.5–292.5°),TSI OPS 3330,1.0009740256370292,0.9083405856988365,1210
W (247.5–292.5°),TSI OPS 3330,1.246493882857032,0.5643517125617168,1210
W (247.5–292.5°),TSI OPS 3330,1.5521636511656882,0.6880307873973214,1210
W (247.5–292.5°),TSI OPS 3330,1.9324057544936053,0.5735765758418871,1210
W (247.5–292.5°),TSI OPS 3330,2.4060049875260026,0.3809017926542256,1210
W (247.5–292.5°),TSI OPS 3330,2.9959898197423835,0.2448794842326308,1210
W (247.5–292.5°),TSI OPS 3330,3.73008927507104,0.17214013900410824,1210
