Wind_Speed_Class,Instrument,Diameter_um,dN_dlnDp,N_Samples
6–8 m/s,FIDAS 200,0.1037,0.0,1196
6–8 m/s,FIDAS 200,0.1198,0.0,1196
6–8 m/s,FIDAS 200,0.1287,0.0,1196
6–8 m/s,FIDAS 200,0.1383,0.0,1196
6–8 m/s,FIDAS 200,0.1486,0.0,1196
6–8 m/s,FIDAS 200,0.1597,60.58922602434816,1196
6–8 m/s,FIDAS 200,0.1717,522.1695280326834,1196
6–8 m/s,FIDAS 200,0.1845,870.6073743268289,1196
6–8 m/s,FIDAS 200,0.1982,1025.8670096490375,1196
6–8 m/s,FIDAS 200,0.213,815.9878570121131,1196
6–8 m/s,FIDAS 200,0.2289,678.8640681193453,1196
6–8 m/s,FIDAS 200,0.246,599.4212147844063,1196
6–8 m/s,FIDAS 200,0.2643,550.4782895196187,1196
6–8 m/s,FIDAS 200,0.2841,373.3806731730698,1196
6–8 m/s,FIDAS 200,0.3053,147.25588642949924,1196
6–8 m/s,FIDAS 200,0.328,57.64424232389896,1196
6–8 m/s,FIDAS 200,0.3525,28.01913138882982,1196
6–8 m/s,FIDAS 200,0.3788,14.702238252051874,1196
6–8 m/s,FIDAS 200,0.4071,10.383464930937407,1196
6–8 m/s,FIDAS 200,0.4374,8.2117804670606,1196
6–8 m/s,FIDAS 200,0.4701,7.933483818899484,1196
6–8 m/s,FIDAS 200,0.5051,6.733267775466543,1196
6–8 m/s,FIDAS 200,0.5428,4.728679688658858,1196
6–8 m/s,FIDAS 200,0.5833,3.702823246605427,1196
6–8 m/s,FIDAS 200,0.6268,2.9737805078275454,1196
6–8 m/s,FIDAS 200,0.6736,2.7186657870741464,1196
6–8 m/s,FIDAS 200,0.7239,2.832530336414224,1196
6–8 m/s,FIDAS 200,0.7779,2.4543837228050225,1196
6–8 m/s,FIDAS 200,0.8359,2.518879624444254,1196
6–8 m/s,FIDAS 200,0.8983,2.0899344525366557,1196
6–8 m/s,FIDAS 200,0.9653,2.0779235750511367,1196
6–8 m/s,FIDAS 200,1.0373,1.8109068748817152,1196
6–8 m/s,FIDAS 200,1.1147,1.7816346775716172,1196
6–8 m/s,FIDAS 200,1.1979,1.5892186712361411,1196
6–8 m/s,FIDAS 200,1.2872,1.5291354942121034,1196
6–8 m/s,FIDAS 200,1.3833,1.4187420641355166,1196
6–8 m/s,FIDAS 200,1.4865,1.280596582030749,1196
6–8 m/s,FIDAS 200,1.5974,1.1684283546199616,1196
6–8 m/s,FIDAS 200,1.7165,0.9703616205539138,1196
