Wind_Speed_Class,Instrument,Diameter_um,dN_dlnDp,N_Samples
> 4 m/s,FIDAS 200,0.1037,0.0,4768
> 4 m/s,FIDAS 200,0.1198,0.0,4768
> 4 m/s,FIDAS 200,0.1287,0.0,4768
> 4 m/s,FIDAS 200,0.1383,0.0,4768
> 4 m/s,FIDAS 200,0.1486,0.0,4768
> 4 m/s,FIDAS 200,0.1597,66.21419984702361,4768
> 4 m/s,FIDAS 200,0.1717,559.8815472263487,4768
> 4 m/s,FIDAS 200,0.1845,871.6451738340793,4768
> 4 m/s,FIDAS 200,0.1982,1021.510717487596,4768
> 4 m/s,FIDAS 200,0.213,811.4769619533918,4768
> 4 m/s,FIDAS 200,0.2289,676.7547371736939,4768
> 4 m/s,FIDAS 200,0.246,600.0340383246547,4768
> 4 m/s,FIDAS 200,0.2643,552.4002984819533,4768
> 4 m/s,FIDAS 200,0.2841,373.3293998295801,4768
> 4 m/s,FIDAS 200,0.3053,146.8535990385576,4768
> 4 m/s,FIDAS 200,0.328,58.21620221799741,4768
> 4 m/s,FIDAS 200,0.3525,28.41427410516478,4768
> 4 m/s,FIDAS 200,0.3788,15.036005876541466,4768
> 4 m/s,FIDAS 200,0.4071,10.568556672148556,4768
> 4 m/s,FIDAS 200,0.4374,8.494750963679476,4768
> 4 m/s,FIDAS 200,0.4701,8.139636942500726,4768
> 4 m/s,FIDAS 200,0.5051,6.8797853605335275,4768
> 4 m/s,FIDAS 200,0.5428,4.8144662384721535,4768
> 4 m/s,FIDAS 200,0.5833,3.752126791231337,4768
> 4 m/s,FIDAS 200,0.6268,3.0411425444412177,4768
> 4 m/s,FIDAS 200,0.6736,2.8430021940272168,4768
> 4 m/s,FIDAS 200,0.7239,2.892828476509727,4768
> 4 m/s,FIDAS 200,0.7779,2.499383723968476,4768
> 4 m/s,FIDAS 200,0.8359,2.5658152011459863,4768
> 4 m/s,FIDAS 200,0.8983,2.1473357800881567,4768
> 4 m/s,FIDAS 200,0.9653,2.1705560634714964,4768
> 4 m/s,FIDAS 200,1.0373,1.8778327931902714,4768
> 4 m/s,FIDAS 200,1.1147,1.8202710700294074,4768
> 4 m/s,FIDAS 200,1.1979,1.6644228805931287,4768
> 4 m/s,FIDAS 200,1.2872,1.5625894863661918,4768
> 4 m/s,FIDAS 200,1.3833,1.4563043022290887,4768
> 4 m/s,FIDAS 200,1.4865,1.2936247638038691,4768
> 4 m/s,FIDAS 200,1.5974,1.1769834937891075,4768
> 4 m/s,FIDAS 200,1.7165,0.9991028313902387,4768
> 4 m/s,FIDAS 200,1.8446,0.8459286410296988,4768
> 4 m/s,FIDAS 200,1.9822,0.7274818165506736,4768
> 4 m/s,FIDAS 200,2.1301,0.6548589284436863,4768
> 4 m/s,FIDAS 200,2.2891,0.5743569185938443,4768
> 4 m/s,FIDAS 200,2.4598,0.5241928430751819,4768
> 4 m/s,FIDAS 200,2.6434,0.4802040445417368,4768
> 4 m/s,FIDAS 200,2.8406,0.4256538924027844,4768
> 4 m/s,FIDAS 200,3.0525,0.40936035945305854,4768
> 4 m/s,FIDAS 200,3.2802,0.37384361643016134,4768
> 4 m/s,FIDAS 200,3.525,0.3280448126882078,4768
> 4 m/s,FIDAS 200,3.788,0.2965387810214368,4768
> 4 m/s,FIDAS 200,4.0706,0.2537542538890084,4768
> 4 m/s,FIDAS 200,4.3743,0.23392967249647983,4768
> 4 m/s,FIDAS 200,4.7006,0.2035051480204429,4768
> 4 m/s,FIDAS 200,5.0513,0.18084028559898194,4768
> 4 m/s,FIDAS 200,5.4282,0.15459106106542936,4768
> 4 m/s,FIDAS 200,5.8332,0.13366378615383165,4768
> 4 m/s,FIDAS 200,6.2684,0.12211543611418506,4768
> 4 m/s,FIDAS 200,6.7361,0.10611859293027832,4768
> 4 m/s,FIDAS 200,7.2386,0.09705802954074996,4768
> 4 m/s,FIDAS 200,7.7787,0.08349210975533396,4768
> 4 m/s,FIDAS 200,8.359,0.07886697265761368,4768
> 4 m/s,FIDAS 200,8.9827,0.07000578995730757,4768
> 4 m/s,FIDAS 200,9.6529,0.06321558801590957,4768
> 4 m/s,FIDAS 200,10.373,0.04899703831694133,4768
> 4 m/s,FIDAS 200,11.1469,0.03676622010531861,4768
> 4 m/s,FIDAS 200,11.9786,0.03415790276444978,4768
> 4 m/s,FIDAS 200,12.8723,0.030838261582983178,4768
> 4 m/s,FIDAS 200,13.8327,0.02784204282345642,4768
> 4 m/s,FIDAS 200,14.8647,0.021989840741493398,4768
> 4 m/s,FIDAS 200,15.9737,0.01996114875062135,4768
> 4 m/s,FIDAS 200,17.1655,0.014000026414775548,4768
> 4 m/s,FIDAS 200,18.4462,0.013350492393417035,4768
> 4 m/s,FIDAS 200,19.8224,0.014187171791450275,4768
> 4 m/s,FIDAS 200,21.3013,0.015272407598833743,4768
> 4 m/s,FIDAS 200,22.8905,0.016361247373281675,4768
> 4 m/s,FIDAS 200,24.5984,0.017752391108441817,4768
> 4 m/s,FIDAS 200,26.4336,0.005127537762036741,4768
> 4 m/s,UCASS 1,0.7765307463326871,0.841346570900046,5922
> 4 m/s,UCASS 1,1.7052272575818157,0.17476608993892453,5922
> 4 m/s,UCASS 1,2.4781242906682466,0.07661195867017859,5922
> 4 m/s,UCASS 1,3.1246599815019875,0.05108725752035722,5922
> 4 m/s,UCASS 1,3.668105778191245,0.04311301467476587,5922
> 4 m/s,UCASS 1,4.161249812255929,0.02056100866630724,5922
> 4 m/s,UCASS 1,4.678589531044587,0.019546907812609197,5922
> 4 m/s,UCASS 1,5.145298825141257,0.0088511614729359,5922
> 4 m/s,UCASS 1,5.604863959098383,0.017589896788451843,5922
> 4 m/s,UCASS 1,6.061188002363893,0.009426159510033704,5922
> 4 m/s,UCASS 1,6.520398760812102,0.011307878327489548,5922
> 4 m/s,UCASS 1,6.971986804347811,0.006618308449837419,5922
> 4 m/s,UCASS 1,7.420956811624765,0.012309582189416031,5922
> 4 m/s,UCASS 1,7.891793205602894,0.0012971515603486196,5922
> 4 m/s,UCASS 1,10.85080642164443,0.007566717435366947,5922
> 4 m/s,UCASS 2,4.069004792329446,0.11579037944421573,5922
> 4 m/s,UCASS 2,4.496398558846847,0.19531722518655104,5922
> 4 m/s,UCASS 2,5.417970099585268,0.10642461629794848,5922
> 4 m/s,UCASS 2,6.685506712284417,0.06217786503502852,5922
> 4 m/s,UCASS 2,8.268978171455045,0.03357128033311595,5922
> 4 m/s,UCASS 2,10.772854774849607,0.03384294102699355,5922
> 4 m/s,UCASS 2,13.835259303677686,0.011966725369152977,5922
> 4 m/s,UCASS 2,17.414821273846023,0.009231739418317229,5922
> 4 m/s,UCASS 2,23.11955881932006,0.008713230451389331,5922
> 4 m/s,UCASS 2,28.16814512885078,0.004587092234893913,5922
> 4 m/s,UCASS 2,30.822173836379548,0.000855172204857232,5922
> 4 m/s,UCASS 2,33.4058677480469,0.0,5922
> 4 m/s,UCASS 2,35.530071770262445,0.0005361147829780191,5922
> 4 m/s,UCASS 2,40.3981039159018,0.0014265805041217257,5922
> 4 m/s,UCASS 2,48.99905305207439,0.0024965158822130196,5922
> 4 m/s,UCASS 6,0.6280127387243033,0.4784126741528814,5922
> 4 m/s,UCASS 6,0.7557777451076474,0.8924379197424842,5922
> 4 m/s,UCASS 6,1.1299557513460428,0.31468582410956625,5922
> 4 m/s,UCASS 6,1.7951044537853502,0.35330820675648084,5922
> 4 m/s,UCASS 6,2.23678340480253,0.4193249678422748,5922
> 4 m/s,UCASS 6,2.579767431378263,0.18171961645559284,5922
> 4 m/s,UCASS 6,3.316323265304515,0.10607931216582397,5922
> 4 m/s,UCASS 6,4.263097465458654,0.07675015170082852,5922
> 4 m/s,UCASS 6,5.296527164095356,0.051505656110634145,5922
> 4 m/s,UCASS 6,6.755116579304905,0.025710687972201902,5922
> 4 m/s,UCASS 6,8.618816624107977,0.015413288356211403,5922
> 4 m/s,UCASS 6,11.067971810589329,0.008680230595691934,5922
> 4 m/s,UCASS 6,14.265342617687105,0.004538514843167515,5922
> 4 m/s,UCASS 6,18.743596239782804,0.0025161995652644496,5922
> 4 m/s,UCASS 6,25.325038993059813,0.001601217905168286,5922
> 4 m/s,TSI OPS 3330,0.3349626844888845,77.40416710677955,807
> 4 m/s,TSI OPS 3330,0.417025179095939,12.175243788985526,807
> 4 m/s,TSI OPS 3330,0.5188785985179963,3.0985427171952153,807
> 4 m/s,TSI OPS 3330,0.6461106716345119,1.0582564571855089,807
> 4 m/s,TSI OPS 3330,0.8041996020889342,0.6202863819757036,807
> 4 m/s,TSI OPS 3330,1.0009740256370292,0.8231362456481874,807
> 4 m/s,TSI OPS 3330,1.246493882857032,0.495651848296827,807
> 4 m/s,TSI OPS 3330,1.5521636511656882,0.5926002711362587,807
> 4 m/s,TSI OPS 3330,1.9324057544936053,0.5224737061155575,807
> 4 m/s,TSI OPS 3330,2.4060049875260026,0.38064901141493335,807
> 4 m/s,TSI OPS 3330,2.9959898197423835,0.24335081831516844,807
> 4 m/s,TSI OPS 3330,3.73008927507104,0.18135846242530906,807
> 4 m/s,TSI OPS 3330,4.644080533324115,0.12933869621336033,807
> 4 m/s,TSI OPS 3330,5.781788823538958,0.10255153879714705,807
> 4 m/s,TSI OPS 3330,7.198224225460054,0.05778975799235975,807
> 4 m/s,TSI OPS 3330,8.962142600963231,0.05464688573817056,807
