Wind_Speed_Class,Instrument,Diameter_um,dN_dlnDp,N_Samples
< 4 m/s,FIDAS 200,0.1037,0.0,12054
< 4 m/s,FIDAS 200,0.1198,0.0,12054
< 4 m/s,FIDAS 200,0.1287,0.0,12054
< 4 m/s,FIDAS 200,0.1383,0.0,12054
< 4 m/s,FIDAS 200,0.1486,0.0,12054
< 4 m/s,FIDAS 200,0.1597,22.13339949338653,12054
< 4 m/s,FIDAS 200,0.1717,305.4948188140321,12054
< 4 m/s,FIDAS 200,0.1845,814.8611099454142,12054
< 4 m/s,FIDAS 200,0.1982,1040.7890818971225,12054
< 4 m/s,FIDAS 200,0.213,868.8257012380095,12054
< 4 m/s,FIDAS 200,0.2289,765.8047260751204,12054
< 4 m/s,FIDAS 200,0.246,731.569555292525,12054
< 4 m/s,FIDAS 200,0.2643,701.7963917184577,12054
< 4 m/s,FIDAS 200,0.2841,505.73257860439355,12054
< 4 m/s,FIDAS 200,0.3053,212.65630769650818,12054
< 4 m/s,FIDAS 200,0.328,89.23276249288013,12054
< 4 m/s,FIDAS 200,0.3525,45.08948982653023,12054
< 4 m/s,FIDAS 200,0.3788,24.209215150410255,12054
< 4 m/s,FIDAS 200,0.4071,17.290558195135887,12054
< 4 m/s,FIDAS 200,0.4374,13.879612188318712,12054
< 4 m/s,FIDAS 200,0.4701,12.972111040813939,12054
< 4 m/s,FIDAS 200,0.5051,11.148428690123655,12054
< 4 m/s,FIDAS 200,0.5428,7.1741284444945865,12054
< 4 m/s,FIDAS 200,0.5833,5.3212907894801,12054
< 4 m/s,FIDAS 200,0.6268,4.132515041259753,12054
< 4 m/s,FIDAS 200,0.6736,3.7507189715645626,12054
< 4 m/s,FIDAS 200,0.7239,3.784083799398842,12054
< 4 m/s,FIDAS 200,0.7779,3.364013951474229,12054
< 4 m/s,FIDAS 200,0.8359,3.3335416142769576,12054
< 4 m/s,FIDAS 200,0.8983,2.935306856957266,12054
< 4 m/s,FIDAS 200,0.9653,2.842752740879042,12054
< 4 m/s,FIDAS 200,1.0373,2.5368839692697915,12054
< 4 m/s,FIDAS 200,1.1147,2.442201104038203,12054
< 4 m/s,FIDAS 200,1.1979,2.2191761004909907,12054
< 4 m/s,FIDAS 200,1.2872,2.088878008965901,12054
< 4 m/s,FIDAS 200,1.3833,1.92976600024545,12054
< 4 m/s,FIDAS 200,1.4865,1.6725171023662833,12054
< 4 m/s,FIDAS 200,1.5974,1.5129782006050605,12054
